,SERIES_NAME,TOTAL_LIABILITIES
519,Direxion Daily Gold Miners Index Bull 2X Shares,99808685.69
520,Calvert Income Fund,66494736.03
521,Metropolitan West Total Return Bond Fund,24866381862.68
522,Dimensional Short-Duration Fixed Income ETF,22845530.29
523,THE ASIA PACIFIC SMALL COMPANY SERIES,21769467.99
524,Eagle Point Income Co Inc.,41618426
525,Nuveen Municipal High Income Opportunity Fund,792077377
526,Small Cap Value Fund,10443113.38
527,iShares Developed Real Estate Index Fund,40574233.04
528,Core Plus Fixed Income Portfolio,14579714.75
529,BlackRock Floating Rate Income Trust,100409374.16
530,AST Balanced Asset Allocation Portfolio,379445798.05
531,iShares Currency Hedged MSCI EAFE ETF,2872941483.4
532,PGIM Jennison Global Equity Income Fund,15439929.42
533,Fidelity ZERO Large Cap Index Fund,14904862
534,Nationwide Multi-Cap Portfolio,98419411.64
535,Carillon Eagle Mid Cap Growth Fund,60086551.47
536,Cohen & Steers Tax-Advantaged Preferred Securities & Income Fund,624088446.64
537,Fidelity International Discovery Fund,158770803.18
538,AB Global Dynamic Allocation Portfolio,178943606.95
539,BlackRock Total Return Fund,197332278.41
540,Fixed Income SHares: Series LD,64304049.16
541,Fidelity Series Emerging Markets Opportunities Fund,402608477.78
542,Fidelity Extended Market Index Fund,2013253371.3
543,MFS High Income Fund,21128795.7
544,Clough Global Equity Fund,124440127.64
545,PIMCO CommoditiesPLUS Strategy Fund,662678358.72
546,Victory High Yield Fund,34241673.69
547,Transamerica Aegon Sustainable Equity Income VP,16006951.79
548,Variable Portfolio - Aggressive Portfolio,64658562.23
549,AB Bond Inflation Strategy,10589288.06
550,PIMCO International Bond Portfolio (Unhedged),12870203.34
551,BlackRock Advantage International Fund,21763754.96
552,Fidelity Diversified International Fund,358959491.1
553,ClearBridge Energy Midstream Opportunity Fund Inc.,208606029.2
554,Dimensional Emerging Markets Core Equity 2 ETF,16683695.11
555,TIAA-CREF Social Choice International Equity Fund,29398130
556,VIP Stock Selector All Cap Portfolio,24427780.05
557,PIMCO Short-Term Portfolio,313298212.91
558,AB EQUITY INCOME FUND INC,19455496.69
559,Select Retailing Portfolio,98719360.12
560,Direxion Daily Dow Jones Internet Bull 3X Shares,10394737.14
561,Dodge & Cox Stock Fund,50539184.41
562,VANGUARD WELLINGTON FUND,175640784.45
563,SPDR(R) S&P(R) Oil & Gas Equipment & Services ETF,39210920.17
564,Core Bond Trust,76987393.35
565,Multi-Manager U.S. Small Cap Equity Fund,534348315.75
566,PIMCO Credit Opportunities Bond Fund,14740088.96
567,Western Asset Emerging Markets Debt Fund Inc.,265059707.88
568,TCW Total Return Bond Fund,859074611.45
569,Nuveen Massachusetts Quality Municipal Income Fund,74376288
570,Invesco DWA Industrials Momentum ETF,13531184.55
571,DFA FIVE-YEAR GLOBAL FIXED INCOME PORTFOLIO,104979331.57
572,PIMCO GNMA and Government Securities Fund,3371400889.24
573,Six Circles U.S. Unconstrained Equity Fund,14474875.93
574,High-Yield Fund,12595699.86
575,Tax-Managed U.S. Mid & Small Cap Fund,15072564.69
576,Knights of Columbus Long/Short Equity Fund,26660013.8
577,Calamos Evolving World Growth Fund,10956948.86
578,VANGUARD WINDSOR FUND,35609650.12
579,iShares iBonds Dec 2029 Term Corporate ETF,106411916.96
580,,168396402.39
581,Oakmark Global Select Fund,10126686.98
582,Easterly Total Hedge Portfolio,12997383.95
583,Oxford Lane Capital Corp.,542894840
584,BNY Mellon High Yield Fund,10026013.24
585,VanEck Rare Earth/Strategic Metals ETF,59660779.34
586,THRIVENT MODERATE ALLOCATION FUND,26590079.88
587,Eaton Vance Floating-Rate Fund,46179950.89
588,SPDR SSGA Multi-Asset Real Return ETF,35508076.17
589,LVIP Invesco Select Equity Income Managed Volatility Fund,228518829.4
590,California Intermediate-Term Tax-Free Bond Fund,16232883.04
591,PIMCO Short Asset Portfolio,279733941.45
592,Bernstein Intermediate Duration Institutional Portfolio,82491547.66
593,Federated Hermes MDT Small Cap Core Fund,20984229.72
594,MFS Municipal Limited Maturity Fund,48525097.34
595,iShares Core High Dividend ETF,22779261.62
596,Alpha Core Strategies Fund,20628457.23
597,BlackRock Health Sciences Trust,23005687.39
598,Catalyst/ CIFC Floating Rate Income Fund,17730858.79
599,Fidelity Series Blue Chip Growth Fund,39109499.22
600,Western Asset Management Government Income Portfolio,19110634.18
601,PSF PGIM Jennison Value Portfolio,98822117.93
602,Neuberger Berman Strategic Income Fund,889270376.27
603,Goldman Sachs International Equity Insights Fund,107594459.58
604,THRIVENT BALANCED INCOME PLUS PORTFOLIO,32010522.3
605,Janus Henderson Small/Mid Cap Growth Alpha ETF,31146002.02
606,BlackRock Global Allocation Portfolio,26599238.19
607,Invesco Variable Rate Preferred ETF,158048967.87
608,Avantis International Equity ETF,104028718.34
609,Old Westbury Municipal Bond Fund,129312737.33
610,PIMCO TRENDS Managed Futures Strategy Fund,1618979926.66
611,Janus Henderson Overseas Fund,17948373
612,PIMCO International Bond Fund (Unhedged),516476085.98
613,AST Small-Cap Growth Portfolio,283243247.53
614,Invesco Quality Municipal Income Trust,317091019.49
615,BlackRock Ltd Duration Income Trust,262488372.6
616,Nuveen Variable Rate Preferred & Income Fund,226108218
617,GuidePath Managed Futures Strategy Fund,22503798.99
618,First Trust Limited Duration Investment Grade Corporate ETF,15217026.68
619,SPDR S&P Global Dividend ETF,22962777.98
620,Short-Term Bond Fund of America,766967951.39
621,Fidelity Mid-Cap Stock Fund,153816773.44
622,Transamerica Large Value Opportunities,33349992.39
623,Invesco Variable Rate Investment Grade ETF,15002647.99
624,Guggenheim Taxable Municipal Bond & Investment Grade Debt Trust,132120736.11
625,Schwab Small-Cap Index Fund,72324667.9
626,ProShares Short Dow30,31032428.23
627,Western Asset Managed Municipals Fund Inc.,254354109.23
628,Bridge Builder Municipal Bond Fund,145065538.26
629,BlackRock Total Return V.I. Fund,393021058.48
630,Bank Loan Core Fund,18359854.09
631,Advent Convertible and Income Fund,357397546.57
632,Delaware Ivy High Income Fund,28994974.48
633,Strategic Alternatives Fund,51142986.88
634,BlackRock Equity Dividend V.I. Fund,21083847.41
635,MassMutual Mid Cap Growth Fund,43190287.1
636,MainStay VP Floating Rate Portfolio,18138149.65
637,ProShares Ultra QQQ,3667880706.74
638,MFS Global Total Return Fund,25132369.78
639,Brighthouse/Dimensional International Small Company Portfolio,30137461.72
640,Macquarie/First Trust Global Infrastructure/Utilities Dividend & Income Fund,28000845.84
641,Voya High Yield Bond Fund,12187219.24
642,PIMCO Total Return Portfolio,2579753663.6
643,Transamerica International Equity,307571793.43
644,THE HARTFORD DIVIDEND AND GROWTH FUND,133051940.05
645,NVIT Multi-Manager Mid Cap Value Fund,21549155.18
646,PIMCO Real Return Portfolio,120624939.89
647,WisdomTree U.S. SmallCap Fund,11234859.64
648,Victory Sycamore Established Value Fund,24177506.91
649,Tax-Aware Overlay A Portfolio,37600574.58
650,THE HARTFORD CAPITAL APPRECIATION FUND,39147062.8
651,Northern Bond Index Fund,42127362.28
652,PIMCO Diversified Income Fund,621659283.29
653,Fidelity Advisor New Insights Fund,53213802.45
654,THRIVENT MODERATE ALLOCATION PORTFOLIO,295896112.41
655,THRIVENT MODERATELY CONSERVATIVE ALLOCATION FUND,34132169.99
656,Western Asset Core Plus VIT Portfolio,49021312.82
657,Templeton World Fund,47743007.2
658,JNL/GQG Emerging Markets Equity Fund,18644014.34
659,U.S. LARGE COMPANY PORTFOLIO,211622336.68
660,MEDIUM-DURATION BOND FUND,731237878.53
661,Hartford Schroders International Multi-Cap Value Fund,69693353.8
662,"BlackRock Sustainable Balanced Fund, Inc.",38911216.35
663,John Hancock Income Securities Trust,96052809.03
664,Guggenheim Limited Duration Fund,20954373.59
665,Transamerica Aegon Bond VP,303125694.26
666,Fidelity Real Estate Index Fund,11282791.15
667,"BlackRock MuniYield Quality Fund III, Inc.",532375606.25
668,Invesco Municipal Opportunity Trust,492928548.04
669,American High-Income Municipal Bond Fund,122508732.73
670,Wilmington Broad Market Bond Fund,18009558.76
671,Atlas U.S. Tactical Income Fund,72575852.02
672,VIP Overseas Portfolio,40157794.77
673,FS Chiron Real Asset Fund,11671613.27
674,AB High Income Municipal Portfolio,402722371
675,Invesco S&P 500 Pure Value ETF,416475167.95
676,Invesco Comstock Fund,58282916.25
677,Fidelity Series Investment Grade Bond Fund,4577395318.33
678,BlackRock California Municipal Income Trust,208493175.65
679,U.S. MICRO CAP PORTFOLIO,1537093649.08
680,Dimensional International High Profitability ETF,38455295.98
681,VANGUARD SHORT-TERM INVESTMENT-GRADE FUND,495058843.75
682,Putnam Dynamic Asset Allocation Conservative Fund,380613951.29
683,VANGUARD INTERMEDIATE-TERM INVESTMENT-GRADE FUND,285804353.49
684,Partners III Opportunity Fund,16852775.67
685,Fidelity Series All-Sector Equity Fund,26500548.39
686,JPMorgan Core Plus Bond Fund,505085964.73
687,Parametric Tax-Managed Emerging Markets Fund,21491235.71
688,VANGUARD MORTGAGE-BACKED SECURITIES INDEX FUND,858778776.4
689,Invesco DWA Consumer Staples Momentum ETF,14444201.52
690,Empower U.S. Government Securities Fund,68044750.02
691,Schwab International Small-Cap Equity ETF,95319748.46
692,Invesco Small Cap Equity Fund,113556259.88
693,MFS HIGH INCOME MUNICIPAL TRUST,86580544.78
694,Xtrackers USD High Yield Corporate Bond ETF,168832425.69
695,SPDR(R) Portfolio MSCI Global Stock Market ETF,22118001.61
696,ALLIANCEBERNSTEIN NATIONAL MUNICIPAL INCOME FUND,233335577.06
697,Western Asset Diversified Income Fund,384733322.53
698,American Beacon SSI Alternative Income Fund,16103921.21
699,JPMorgan International Research Enhanced Equity ETF,175372151.53
700,Versus Capital Multi-Manager Real Estate Income Fund LLC,152811562.95
701,John Hancock Preferred Income Fund II,208311504.45
702,Invesco S&P International Developed Quality ETF,20580979.53
703,Invesco Quality Income Fund,265733565.76
704,JPMorgan BetaBuilders Canada ETF,446293910.63
705,iShares MSCI Emerging Markets Min Vol Factor ETF,225224983.98
706,AB Tax-Aware Real Return Income Shares,46004378.63
707,ProShares UltraPro S&P500,2794400062.46
708,SPDR MSCI EAFE StrategicFactors ETF,36089080.66
709,"PGIM High Yield Bond Fund, Inc.",137724146.43
710,Fidelity Total International Index Fund,70539160.76
711,Disciplined Value Fund,47332796.67
712,"BlackRock MuniVest Fund, Inc.",273029709.07
713,"BNY Mellon Alcentra Global Credit Income 2024 Target Term Fund, Inc.",56898627.49
714,State Street Income Fund,261693440.19
715,Fidelity Advisor Value Fund,15282567.81
716,Invesco BulletShares 2026 Corporate Bond ETF,172325522.57
717,Government Bond Fund,43442473.31
718,A&Q Multi-Strategy Fund,24583947.97
719,Pioneer Multi-Asset Ultrashort Income Fund,98871872.35
720,First Trust Managed Municipal ETF,23085189.16
721,iShares Core MSCI EAFE ETF,1498054734.09
722,Natixis Sustainable Future 2055 Fund,10682184.79
723,Virtus Newfleet Senior Floating Rate Fund,15442617.25
724,iShares Cybersecurity and Tech ETF,64615597.26
725,Bridge Builder International Equity Fund,75803539.39
726,Parametric Volatility Risk Premium - Defensive Fund,37095075.43
727,PGIM Quant Solutions Stock Index Fund,58317060.42
728,Invesco Dynamic Energy Exploration & Production ETF,21042584.96
729,MassMutual Emerging Markets Debt Blended Total Return Fund,80149191.24
730,"BNY Mellon U.S. Mortgage Fund, Inc.",29811504.68
731,SPDR(R) S & P 400 Mid Cap Value ETF,130467947.78
732,Short Duration Strategic Income Fund,19189254.86
733,T. Rowe Price International Value Equity Fund,163380180.07
734,VALUE LINE CORE BOND FUND,12231812.85
735,"BNY Mellon Appreciation Fund, Inc.",48301992.98
736,VIP Investment Grade Bond II Portfolio,863880279.6
737,Pacer Industrial Real Estate ETF,45919219.05
738,SIMT Tax-Managed International Managed Volatility Fund,18049162.52
739,Victory Nasdaq-100 Index Fund,15851878.91
740,JPMorgan Floating Rate Income Fund,10522806.91
741,Fidelity High Dividend ETF,27690898.14
742,JNL/American Funds Growth-Income Fund,15088277.12
743,U.S. Government Securities Fund,671125800.71
744,Transamerica PIMCO Tactical - Growth VP,43949236.45
745,American Beacon Small Cap Value Fund,28432036.59
746,Putnam Global Technology Fund,13205370.60075848
747,PSF Small-Cap Value Portfolio,40931376.44
748,,910107799.46
749,Fidelity SAI Low Duration Income Fund,168530575.99
750,Guggenheim StylePlus-Large Core Fund,10576125.85
751,MML Total Return Bond Fund,152592327.49
752,Short Duration Inflation Protection Bond Fund,62617555.72
753,River Canyon Total Return Bond Fund,11162793.55
754,PD Aggregate Bond Index Portfolio,44254947.86
755,MFS Emerging Markets Debt Local Currency Fund,18022978.99
756,Janus Henderson Balanced Fund,1110316407
757,CBRE Global Real Estate Income Fund,336838091.85
758,Invesco Trust for Investment Grade Municipals,395459037.72
759,iShares North American Natural Resources ETF,22162295.33
760,Invesco S&P 500 Equal Weight Consumer Staples ETF,37248573.41
761,VOYA LARGE CAP VALUE PORTFOLIO,13553099.78
762,SPDR S&P MidCap 400 ETF Trust,58022753.31
763,ProShares Ultra MSCI Brazil Capped,11457578.65
764,BlackRock Mid-Cap Growth Equity Portfolio,354675512.98
765,TIAA-CREF International Bond Fund,297615337
766,Invesco SteelPath MLP Income Fund,125125979.46
767,Eaton Vance Risk-Managed Diversified Equity Income Fund,20088500.99
768,First Eagle Credit Opportunities Fund,319288533.53
769,ProShares Large Cap Core Plus,23887864.28
770,SPDR(R) S&P(R) Semiconductor ETF,55386687.82
771,VANGUARD CONSUMER DISCRETIONARY INDEX FUND,12674172.24
772,ClearBridge International Growth Fund,43777481.9
773,SA VCP Dynamic Strategy Portfolio,39105616.55
774,Alternative Credit Income Fund,14181831.98
775,Innovator Gradient Tactical Rotation Strategy ETF,25589104.81
776,PIMCO All Asset: Multi-RAE PLUS Fund,1021166436.09
777,BlackRock Long-Term Municipal Advantage Trust,88014385.7
778,State Farm Balanced Fund,19349371.9
779,Putnam Large Cap Growth Fund,279992491.28
780,CornerCap Fundametrics Large-Cap ETF,13257488.65
781,VANGUARD UTILITIES INDEX FUND,11500221.17
782,Putnam Short Term Investment Fund,60217801.88
783,Fidelity Asset Manager 85%,40591653.73
784,First Trust Large Cap Value AlphaDEX Fund,14224362.36
785,Pacer US Cash Cows 100 ETF,1208397388.33
786,SPDR(R) S&P(R) International Small Cap ETF,67623298.85
787,MFS International Growth Fund,42982849.55
788,Bitcoin Strategy,14480340.31
789,EQ/International Value Managed Volatility Portfolio,22901115.92
790,PIMCO RAE PLUS EMG Fund,18327591.24
791,VANGUARD TOTAL INTERNATIONAL STOCK INDEX FUND,6948443840.39
792,Morningstar Total Return Bond Fund,129232803.2
793,JPMorgan Mid Cap Equity Fund,106448688.18
794,Invesco Aerospace & Defense ETF,117718377.86
795,BlackRock Core Bond Trust,368517201.67
796,VIP Investment Grade Central Fund,673805808.44
797,"abrdn Emerging Markets Equity Income Fund, Inc.",58188733.52
798,Dimensional U.S. Equity ETF,113616226.29
799,Fidelity Small Cap Growth K6 Fund,87932230.35
800,Brighthouse/Wellington Balanced Portfolio,209558704.82
801,Nuveen Municipal Credit Opportunities Fund,481291316
802,VanEck Morningstar Wide Moat ETF,17578051.32
803,The Consumer Discretionary Select Sector SPDR Fund,40634450.95
804,AB Global Core Equity Portfolio,23850517.44
805,Wasatch Small Cap Value Fund,16560761.73
806,Eaton Vance Worldwide Health Sciences Fund,32839592.29
807,Pacer Benchmark Industrial Real Estate SCTR ETF,27493897.93
808,PSF PGIM Government Income Portfolio,14432802.86
809,SPDR Portfolio Long Term Corporate Bond ETF,14080489.46
810,Invesco S&P SmallCap 600 Revenue ETF,274772461.01
811,Victory Capital Growth Fund,17034715.73
812,CPG Cooper Square International Equity LLC,61855381.23
813,Donoghue Forlines Tactical Income Fund,11584801.3
814,THRIVENT DIVERSIFIED INCOME PLUS PORTFOLIO,86358145.83
815,"T. Rowe Price Real Assets Fund, Inc.",214275615.06
816,T. Rowe Price Spectrum Moderate Growth Allocation Fund,14443480.17
817,"Cohen & Steers Preferred Securities & Income Fund, Inc.",126165946.68
818,PIMCO All Asset: Multi-Real Fund,1811811558.27
819,SPDR(R) S&P(R) EMERGING ASIA PACIFIC ETF,49962455.62
820,Invenomic Fund,1332267819.03
821,ProShares UltraShort Technology,10285380.78
822,Franklin Mutual European Fund,14905423.73
823,PIMCO Low Duration Income Fund,6469353711.37
824,Goldman Sachs Small Cap Value Insights Fund,10050640.42
825,Invesco International Bond Fund,101287119.62
826,The Health Care Select Sector SPDR Fund,182801599.62
827,BLUEPRINT ADAPTIVE GROWTH ALLOCATION FUND,21016883.86
828,Nuveen Floating Rate Income Opportunity Fund,263051291
829,Columbia Tax-Exempt Fund,28954729.03
830,Franklin Mutual Quest Fund,50250066.45
831,Columbia Bond Fund,244412835.38
832,EATON VANCE MUNICIPAL BOND FUND,504103123.18
833,First Eagle Overseas Fund,35356420.69
834,Dimensional U.S. Targeted Value ETF,436198491.51
835,DFA Selectively Hedged Global Fixed Income Portfolio,12470538.42
836,FT Cboe Vest U.S. Equity Buffer ETF - August,10441149.31
837,Goldman Sachs Global Core Fixed Income Fund,110915313
838,LVIP SSGA International Managed Volatility Fund,226817562.39
839,JPMorgan Growth Advantage Fund,81559638.4
840,iShares 1-5 Year Investment Grade Corporate Bond ETF,3279363903.56
841,Limited Term Tax Exempt Bond Fund of America,104802611.11
842,Nuveen Short Duration High Yield Municipal Bond Fund,453505310
843,Goldman Sachs Multi-Manager Real Assets Strategy Fund,342296037.44
844,Calvert Floating-Rate Advantage Fund,27200766.25
845,First Trust Dynamic Europe Equity Income Fund,78746857.56
846,Tax-Exempt Bond Fund,26936942.53
847,Floating Rate Income Fund,40212890.36
848,Guggenheim Core Bond Fund,154040128.17
849,Eaton Vance New York Municipal Income Fund,22489315.97
850,U.S. VECTOR EQUITY PORTFOLIO,582798277.28
851,Jennison Growth Portfolio,204155739.88
852,MainStay MacKay California Tax Free Opportunities Fund,49847358.69
853,Fidelity International Value Fund,36338697.74
854,FS Multi-Strategy Alternatives Fund,1472148999.56
855,ETFMG Travel Tech ETF,24701756.1
856,Boston Partners Global Equity Fund,14371618.72
857,Omni Small-Cap Value Fund,23515317.25
858,JPMorgan Limited Duration Bond Fund,14894187.95
859,iShares Morningstar Mid-Cap Growth ETF,88984447.59
860,SIT International Equity Fund,167464121.31
861,"BNY Mellon Stock Index Fund, Inc.",112722615.76
862,Pacer Global Cash Cows Dividend ETF,136063610.96
863,JPMorgan Global Allocation Fund,45157100.82
864,SPDR Loomis Sayles Opportunistic Bond ETF,11973532.51
865,JPMorgan Core Plus Bond ETF,28783010.23
866,THE ARBITRAGE FUND,64658553.67
867,PIMCO International Portfolio,29604267.66
868,Invesco High Yield Municipal Fund,1359987579.2
869,iShares MSCI Israel ETF,17178354.03
870,iShares U.S. Healthcare ETF,62826171.62
871,Frontier MFG Global Equity Fund,28252422.95
872,KKR Income Opportunities Fund,197110473.61
873,Federated Hermes Strategic Income Fund,42719629.08
874,Goldman Sachs Emerging Markets Debt Fund,35219734.9
875,Morgan Stanley Discovery Portfolio,249936526.28
876,Schwab 1000 Index Fund,13717113.48
877,Harding Loevner International Equity Portfolio,14032685.89
878,Voya VACS Index Series EM Portfolio,10746629.89
879,VANGUARD INTERNATIONAL EXPLORER FUND,35258689.45
880,CONESTOGA SMALL CAP FUND,12139076.36
881,JNL/Westchester Capital Event Driven Fund,25878839.32
882,Morningstar International Equity Fund,12510684.83
883,Fidelity SAI Total Bond Fund,2938040459.51
884,VA GLOBAL BOND PORTFOLIO,10037995.1
885,LoCorr Dynamic Opportunity Fund,28852399.11
886,U.S. Small Cap Equity Fund,13403278.63
887,"BlackRock Municipal Income Fund, Inc.",655487250.66
888,Clough Global Equity Fund,92798974.61
889,TIAA-CREF Core Plus Bond Fund,96893000
890,Fidelity Advisor Energy Fund,43011790.19
891,EQ/400 Managed Volatility Portfolio,10011120.53
892,Invesco BulletShares 2028 Corporate Bond ETF,98225588.15
893,EQ/Morgan Stanley Small Cap Growth Portfolio,34928951.8
894,FT Cboe Vest U.S. Equity Moderate Buffer ETF - February,13509613.46
895,SA Wellington Government and Quality Bond Portfolio,194031120.48
896,iShares 0-5 Year High Yield Corporate Bond ETF,1764834832.26
897,Invesco Corporate Bond Fund,382136830.84
898,Cabana Target Drawdown 7 ETF,13382719.18
899,ATM International Managed Volatility Portfolio,36209946.28
900,Dimensional Core Fixed Income ETF,709235395.46
901,,356042528.544031
902,Invesco Limited Term Municipal Income Fund,36069751.48
903,Transamerica Market Participation Strategy VP,53864798.6
904,iShares Russell 2500 ETF,277345590.81
905,Federated Hermes Premier Municipal Income Fund,91121708.08
906,abrdn Total Dynamic Dividend Fund,56784613.94
907,AB Short Duration Income Portfolio,13004244.45
908,Fidelity Mid Cap Enhanced Index Fund,21857254.54
909,Invesco S&P 500 Downside Hedged ETF,162247252.88
910,Fidelity Asset Manager 50%,12912886.59
911,Gabelli Convertible & Income Securities Fund Inc,16185725.15
912,,3640166820.93
913,,33942062.42
914,SPDR Portfolio Short Term Corporate Bond ETF,166672893.86
915,Payden Core Bond Fund,46008124.14
916,Innovator U.S. Equity Power Buffer ETF - December,13193898.68
917,Nuveen ESG Small-Cap ETF,15862496
918,Invesco FTSE RAFI US 1500 Small-Mid ETF,505416197.67
919,JPMorgan BetaBuilders Europe ETF,341944352.23
920,Wilmington International Fund,17257533.38
921,SPDR(R) S&P(R) CHINA ETF,19830255.07
922,ProShares UltraShort Financials,11841275.22
923,T. Rowe Price Large-Cap Growth Fund,72202217.99
924,SPDR(R) Portfolio S&P 1500 Composite Stock Market ETF,44657858.43
925,iShares MSCI USA Quality Factor ETF,98152921.71
926,Neuberger Berman Mid Cap Growth Fund,10887029.21
927,Mercer Opportunistic Fixed Income Fund,118147273.21
928,JPMorgan High Yield Fund,11425929.93
929,International Small Company Fund,16433045.29
930,AST Preservation Asset Allocation Portfolio,107366873.21
931,PGIM Jennison Growth Fund,422404069.68
932,Federated Hermes Muni and Stock Advantage Fund,12522610.62
933,Transamerica Balanced II,12617630.65
934,Delaware Floating Rate Fund,47294141.18
935,Putnam VT Global Asset Allocation Fund,37868615.72
936,Equity Income Fund,225071868.32
937,Multimanager Core Bond Portfolio,203584288.94
938,Direxion Daily Junior Gold Miners Index Bull 2X Shares,49819774.48
939,Innovator U.S. Equity Power Buffer ETF - November,13465787.44
940,TIAA-CREF Mid-Cap Growth Fund,24013411
941,MFS International Large Cap Value Fund,50770504.33
942,Fidelity Emerging Markets Fund,146012324.76
943,GuideMark Small/Mid Cap Core Fund,28600470.91
944,Global X Russell 2000 Covered Call ETF,36811725.05
945,PIMCO ABS and Short-Term Investments Portfolio,2304495480.41
946,TIAA-CREF Small-Cap Blend Index Fund,103447061
947,iShares Interest Rate Hedged High Yield Bond ETF,124690983.66
948,"BlackRock Global Allocation Fund, Inc.",2863036527.38
949,JNL/T. Rowe Price U.S. High Yield Fund,24108856.88
950,Innovator Growth -100 Power Buffer ETF - January,10001213.66
951,INV CORP SMALL CAP GROWTH,11042551.01
952,SPDR(R) Portfolio S&P 600 Small Cap ETF,394715781.96
953,Fidelity Advisor Floating Rate High Income Fund,151454807.74
954,MFS Limited Maturity Fund,33739724.08
955,Fidelity Government Income Fund,804645159.99
956,"Ares Dynamic Credit Allocation Fund, Inc.",190818023.78
957,Cornerstone Aggressive Fund,14392163.88
958,Flat Rock Core Income Fund,68640478.74
959,HCM Defender 500 Index ETF,20546231.91
960,Invesco S&P SmallCap Momentum ETF,41686383.33
961,JNL International Index Fund,18262108.72
962,AB Limited Duration High Income Portfolio,11290331.57
963,Goldman Sachs International Equity ESG Fund,29135447.15
964,AllianceBernstein Global High Income Fund Inc,38300930.41
965,PIMCO ESG Income Fund,137279257.71
966,Allspring Global Long/Short Equity Fund,175666541.33
967,THRIVENT DIVERSIFIED INCOME PLUS FUND,42193156.65
968,Invesco S&P MidCap 400 Revenue ETF,78906737.44
969,iShares Morningstar Growth ETF,39057298.83
970,Columbia Diversified Fixed Income Allocation ETF,60177760.83
971,VANGUARD INTERMEDIATE-TERM TAX-EXEMPT FUND,1116585740.39
972,BNY Mellon High Yield Beta ETF,12473799.19
973,Horizon Active Asset Allocation Fund,90593151.37
974,ProShares Russell 2000 Dividend Growers ETF,10845812.88
975,Fidelity SAI Tax-Free Bond Fund,48749613.6
976,Fidelity Stock Selector Small Cap Fund,77093775.33
977,Global Atlantic Wellington Research Managed Risk Portfolio,15878921.2
978,Parnassus Value Equity Fund,40525650.38
979,U.S. Sustainability Core 1 Portfolio,317123343.18
980,MassMutual Global Floating Rate Fund,66453042.53
981,Invesco Small Cap Value Fund,233124060.34
982,Strategic Advisers Fidelity Emerging Markets Fund,50554851.65
983,VanEck Preferred Securities ex Financials ETF,43113029.27
984,VanEck Agribusiness ETF,16899353.08
985,iShares Intermediate Government/Credit Bond ETF,38153747.79
986,Fidelity Mid Cap Index Fund,728504739.58
987,Apollo Senior Floating Rate Fund Inc.,138766734.88
988,Western Asset Core Bond Fund,2174517788.31
989,Putnam Ultra Short Duration Income Fund,147773710.63
990,DoubleLine Total Return Bond Fund,147087270.1
991,FT Cboe Vest U.S. Equity Buffer ETF - January,12564483.15
992,PACE Alternative Strategies Investments,351653311.99
993,Global Macro Absolute Return Advantage Portfolio,243525661.39
994,Fidelity Freedom 2030 Fund,15779219.22
995,American Funds Developing World Growth & Income Fund,10141924.63
996,Pemberwick Fund,16799428.53
997,Deer Park Total Return Credit Fund,10131075.68
998,Bancroft Fund Ltd,31659957.1
999,PSF Stock Index Portfolio,523486317.98
1000,American Beacon FEAC Floating Rate Income Fund,50994822.8
1001,Transamerica International Focus,111123068.23
1002,Fidelity Advisor Diversified Stock Fund,22760058.76
1003,VY(R) BLACKROCK INFLATION PROTECTED BOND PORTFOLIO,27396018.73
1004,Calamos Short-Term Bond Fund,21401311.22
1005,Fidelity Large Cap Growth Index Fund,105872389.66
1006,iShares iBonds Dec 2031 Term Corporate ETF,68233325.97
1007,iShares ESG Aware U.S. Aggregate Bond ETF,191109075.93
1008,iShares iBonds Dec 2032 Term Corporate ETF,27093956.02
1009,EATON VANCE TAX ADVANTAGED GLOBAL DIVIDEND INCOME FUND,784166046.7
1010,Global X NASDAQ 100 Covered Call ETF,317290890.53
1011,Invesco V.I. Global Strategic Income Fund,58509531.42
1012,BlackRock LifePath Dynamic 2030 Fund,40239955.86
1013,,89266958.91
1014,MainStay MacKay Convertible Fund,72903492.7
1015,VALUE LINE ASSET ALLOCATION FUND INC,85829502.13
1016,Bond Market Index Fund,155646645.44
1017,Barings Global Short Duration High Yield Fund,119198530.679
1018,FlexShares Morningstar Developed Markets ex-US Factor Tilt Index Fund,12063925.91
1019,Cornerstone Moderate Fund,57097241.06
1020,iShares MSCI Emerging Markets Asia ETF,14491142.96
1021,International Large Cap Growth Portfolio,137695292.33
1022,Artisan Focus Fund,28697813.27
1023,Invesco Golden Dragon China ETF,69555762.25
1024,"BlackRock MuniHoldings California Quality Fund, Inc.",632412353.9
1025,JPMorgan Ultra-Short Income ETF,115690724.12
1026,Fidelity International Growth Fund,392328758.64
1027,Payden Emerging Markets Bond Fund,16573513.35
1028,SIMT Large Cap Fund,16339422.11
1029,Invesco Value Municipal Income Trust,358242967.31
1030,Parnassus Mid Cap Fund,20479645.23
1031,Transamerica BlackRock iShares Active Asset Allocation - Moderate Growth VP,130862393.71
1032,iShares S&P 500 Value ETF,185775710
1033,MassMutual Core Bond Fund,170915943.52
1034,Transamerica Small/Mid Cap Value,29609382.78
1035,Dimensional US Real Estate ETF,11239671.06
1036,JNL/T. Rowe Price Capital Appreciation Fund,190504341.41
1037,Tax-Exempt Fund of California,39864183.43
1038,Calamos Convertible and High Income Fund,490893101.93
1039,Invesco S&P 500 Quality ETF,223741491.58
