,SERIES_NAME,TotalAssets,TotalLiabilities
1421,Cambria Emerging Shareholder Yield ETF,162944633.76,429324.38
1422,Cambria Global Asset Allocation ETF,50391878.56,0
1423,Cambria Global Momentum ETF,193098362.37,92218.7
1424,Cambria Global Real Estate ETF,27631165.28,12158
1425,Cambria Global Tail Risk ETF,4958605.15,2497.14
1426,Cambria Global Value ETF,125793751.13,105861.04
1427,Cambria Shareholder Yield ETF,796679334.73,344582.42
1428,Cambria Tail Risk ETF,226069477.85,6664893.48
1429,Cambria Trinity ETF,125850835.35,0
1430,Cambria Value and Momentum ETF,137137663.19,60768.96
1431,Camelot Event Driven Fund,69635380.38,450869.45
1432,Campbell Systematic Macro Fund,914209679.89,143626610.92
1433,Cantor Fitzgerald Sustainable Infrastructure Fund,7534202.72,344466.71
1434,Capital Advisors Growth Fund,87941998.27,130231.35
1435,Capital Appreciation Fund,55984002.23,82918.82
1436,Capital Appreciation Trust,414680929.08,47216.24
1437,Capital Appreciation Value Fund,1271278663.22,17387100.94
1438,Capital Group California Short-Term Municipal Fund,129180602.44,690592.61
1439,Capital Group Central Corporate Bond Fund,13369372484.33,334233635.62
1440,Capital Group Core Equity ETF,523230809.96,1080103.68
1441,Capital Group Core Plus Income ETF,507484659.12,52582341.36
1442,Capital Group Global Growth Equity ETF,911434571.78,857306.14
1443,Capital Group Growth ETF,1128621777.44,378742.44
1444,Capital Group International Focus Equity ETF,808040531.63,26070950.31
1445,Capital Group Short Duration Income ETF,109471456.88,27581184.76
1446,Capital Group U.S. Equity Fund,302053708.22,6251722.01
1447,Capital Growth Fund,818220823.89,5696335.48
1448,Capital Income Builder,111220999472.41,4819084162.13
1449,Capital World Bond Fund,15401857661.01,4385438869.36
1450,Capital World Growth & Income Fund,107119091754.71,701801384.72
1451,Carbon Collective Climate Solutions U.S. Equity ETF,17334575.13,8001.43
1452,Carbon Strategy ETF,356034.91,18979.12
1453,Carillon ClariVest International Stock Fund,379086946.19,4215431.71
1454,Carillon Eagle Small Cap Growth Fund,776815184.65,2171787.17
1455,Carillon Reams Core Bond Fund,556602582.78,166483572.13
1456,Carillon Reams Core Plus Bond Fund,1686250555.01,490863889.11
1457,Carillon Reams Unconstrained Bond Fund,1218658073.55,19704191.49
1458,Carillon Scout Mid Cap Fund,3911687598.87,18750199.38
1459,Carillon Scout Small Cap Fund,284707219.62,248594.72
1460,Carlyle Tactical Private Credit Fund,2438880897.41,1029642742.24
1461,Catalyst Buffered Shield Fund,46004491.83,5015757.82
1462,Catalyst Dynamic Alpha Fund,126358554.42,255102.52
1463,Catalyst Enhanced Income Strategy Fund,497837417.84,4384901.93
1464,Catalyst Income and Multi-Strategy Fund,5722162.94,38404.72
1465,Catalyst Insider Buying Fund,14289149.8,50973.17
1466,Catalyst Insider Income Fund,77006130.21,439502.02
1467,Catalyst Nasdaq - 100 Hedged Equity Fund,12424210.19,522024.01
1468,Catalyst Systematic Alpha Fund,11853184.15,6831557.17
1469,Catalyst/ CIFC Floating Rate Income Fund,256915200.77,21076264.86
1470,Catalyst/Lyons Tactical Allocation Fund,35711560.96,89250.61
1471,Catalyst/MAP Global Balanced Fund,16125830.09,590773.61
1472,Catalyst/MAP Global Equity Fund,83987740.64,4044782.16
1473,Catalyst/Millburn Hedge Strategy Fund,18759393095.16,13203225098.64
1474,Catalyst/SMH High Income Fund,14305140.19,46016.75
1475,Catalyst/Warrington Strategic Program Fund,156235633.11,229995.53
1476,Catholic Responsible Investments Bond Fund,1791539777.61,8878244.5
1477,Catholic Responsible Investments Equity Index Fund,3040383499.89,531198.2
1478,Catholic Responsible Investments International Equity Fund,1272820592.23,5559460.18
1479,Catholic Responsible Investments International Small-Cap Fund,79559125.85,954809.09
1480,Catholic Responsible Investments Magnus 45/55 Fund,108859659.7,11393.05
1481,Catholic Responsible Investments Magnus 60/40 Alpha Plus Fund,1074264602.93,149694.56
1482,Catholic Responsible Investments Magnus 75/25 Fund,242497044.79,10283.41
1483,Catholic Responsible Investments Multi-Style US Equity Fund,717174932.98,1056571.1
1484,Catholic Responsible Investments Short Duration Bond Fund,453101874.95,2720321.71
1485,Catholic Values Equity Fund,314735040.38,258318.96
1486,Catholic Values Fixed Income Fund,182651799.96,14016489.62
1487,Cboe Vest Bitcoin Strategy Managed Volatility Fund,686489.43,30330.83
1488,Cboe Vest S&P 500 Dividend Aristocrats Target Income Fund,78923239.04,142214.08
1489,Cboe Vest US Large Cap 10% Buffer Strategies Fund,425569904.13,24403658.05
1490,Cboe Vest US Large Cap 10% Buffer Strategies VI Fund,582571.9,31192.3
1491,Cboe Vest US Large Cap 20% Buffer Strategies Fund,59003932.05,2646173.63
1492,Cboe Vest US Large Cap 20% Buffer Strategies VI Fund,557931.45,27947.38
1493,Center Coast Brookfield MLP & Energy Infrastructure Fund,127298330.88,24078153.74
1494,Center Coast Brookfield Midstream Focus Fund,934325409.34,37170156.1
1495,Centerstone International Fund,23608235.54,7278015.21
1496,"Central and Eastern Europe Fund, Inc.",48598263.99,1952210.05
1497,Centre American Select Equity Fund,347518250.81,442510.29
1498,Centre Global Infrastructure Fund,33575086.01,99724.58
1499,Champlain MidCap Fund,5324798162.08,3556460.43
1500,Changebridge Long/Short Equity ETF,6955286.05,1698600.73
1501,Changing Parameters Fund,100860425.57,13315188.14
1502,Chase Growth Fund,59931009.15,161637.51
1503,Chautauqua Global Growth Fund,266161111.09,373511.22
1504,Chautauqua International Growth Fund,493434006.52,755474.64
1505,China Fund Inc,297273698.26,7769663.290000001
1506,Christopher Weil and Company Core Investment Fund,87958869.55,81648.24
1507,City National Rochdale Select Strategies Fund,197433508.92,221378.17
1508,City National Rochdale Strategic Credit Fund,241066117.56,348872.61
1509,Clarion Partners Real Estate Income Fund Inc.,527652710.07,3156757.37
1510,Clarkston Founders Fund,596061052.23,480857
1511,Clarkston Fund,112369772.41,125312.65
1512,Clarkston Partners Fund,1405370907.97,1579896.18
1513,Classic Value Fund,1840279716.87,20317512.76
1514,ClearBridge Aggressive Growth Fund,4540841818.98,10825623.95
1515,ClearBridge All Cap Growth ESG ETF,129310350.53,7116355.61
1516,ClearBridge Dividend Strategy ESG ETF,29304591.37,14260.94
1517,ClearBridge Dividend Strategy Fund,7030377824.57,6867675.87
1518,ClearBridge Energy Midstream Opportunity Fund Inc.,673093681.14,208513629.68
1519,ClearBridge Focus Value ESG ETF,2858258.75,1223.52
1520,ClearBridge International Growth Fund,5044289233.36,17375975.9
1521,ClearBridge International Value Fund,158845741.18,288538.79
1522,ClearBridge Large Cap Growth ESG ETF,149321967.25,79033.08
1523,ClearBridge Large Cap Value Fund,2969874611.66,3176951.96
1524,ClearBridge MLP & Midstream Fund Inc.,827122925.93,255671656.75
1525,ClearBridge MLP & Midstream Total Return Fund Inc.,371981263.88,108363013.17
1526,ClearBridge Mid Cap Fund,2108636450.84,8874816.32
1527,ClearBridge Mid Cap Growth Fund,183734663.11,238042.5
1528,ClearBridge Select Fund,2564405444.34,5148423.72
1529,ClearBridge Small Cap Fund,889230227.64,997449.01
1530,ClearBridge Small Cap Growth Fund,4523600689.72,4215382.56
1531,ClearBridge Sustainability Leaders Fund,145434858.38,157926.9
1532,ClearBridge Sustainable Infrastructure ETF,2412433.49,666.91
1533,ClearBridge Tactical Dividend Income Fund,314550410.13,463735.43
1534,ClearBridge Variable Aggressive Growth Portfolio,159957878.09,173850.1
1535,ClearBridge Variable Appreciation Portfolio,900717625.3,665555.29
1536,ClearBridge Variable Dividend Strategy Portfolio,414014043.48,346010.38
1537,ClearBridge Variable Large Cap Growth Portfolio,330072848.93,297235.86
1538,ClearBridge Variable Large Cap Value Portfolio,276996006.83,310178.51
1539,ClearBridge Variable Mid Cap Portfolio,214916354.16,213357.46
1540,ClearBridge Variable Small Cap Growth Portfolio,378570307.54,430436.91
1541,ClearShares OCIO ETF,163201518.32,35326705.88
1542,ClearShares Piton Intermediate Fixed Income ETF,127321352.96,47245.61
1543,ClearShares Ultra-Short Maturity ETF,255473456.71,5049232.32
1544,Clearwater Core Equity Fund,719639002.39,1575271.12
1545,Clearwater International Fund,880210460.93,2240382.98
1546,Clearwater Select Equity Fund,366245785.66,1303289.02
1547,Clearwater Tax-Exempt Bond Fund,567550413.95,2045249.22
1548,Clifford Capital Focused Small Cap Value Fund,10713973.18,16335.87
1549,Clifford Capital International Value Fund,1055507.26,10187.2
1550,Clifford Capital Partners Fund,116223280.9,3229222.36
1551,Cliffwater Corporate Lending Fund,16141114101.72,6080919953.63
1552,Clipper Fund,880957743.6,755466.27
1553,Cohen & Steers Global Infrastructure Fund Inc.,927444574.66,8527050.35
1554,"Cohen & Steers Global Realty Shares, Inc.",1790638153.03,2570942.73
1555,"Cohen & Steers International Realty Fund, Inc.",487305129.23,1399237.76
1556,"Cohen & Steers Low Duration Preferred and Income Fund, Inc.",2380916235.84,12671476.29
1557,"Cohen & Steers Preferred Securities & Income Fund, Inc.",8619992037.75,242740439.73
1558,"Cohen & Steers Real Assets Fund, Inc.",936423100.94,1594547.67
1559,Cohen & Steers Real Estate Opportunities & Income Fund,410595130.78,150137185.73
1560,Cohen & Steers Real Estate Securities Fund,6914849936.19,16386546.68
1561,Cohen & Steers Tax-Advantaged Preferred Securities & Income Fund,1913410487.16,710906993.01
1562,Coho Relative Value ESG Fund,51806513.77,64896.8
1563,Coho Relative Value Equity Fund,916797223.58,682765.46
1564,College Retirement Equities Fund - Core Bond Account,11217812384,486002860
1565,College Retirement Equities Fund - Equity Index Account,19542195974,143529562
1566,College Retirement Equities Fund - Global Equities Account,22031692358,261041494
1567,College Retirement Equities Fund - Growth Account,25040442142,62270301
1568,College Retirement Equities Fund - Inflation-Linked Bond Account,7117346444,9818693
1569,College Retirement Equities Fund - Social Choice Account,18187179387,494467661
1570,College Retirement Equities Fund - Stock Account,106253651050,1237959724
1571,Colorado BondShares A Tax Exempt Fund,1682624745.23,5165964.04
1572,Columbia Acorn European Fund,73796638.2,81059.18
1573,Columbia Acorn Fund,2494954737.07,3713800.26
1574,Columbia Acorn International Select,227964244,401174.84
1575,Columbia Acorn USA,158424850.82,324960.17
1576,Columbia Adaptive Retirement 2020 Fund,1287940.13,10048.93
1577,Columbia Adaptive Retirement 2025 Fund,1020553.22,29751.13
1578,Columbia Adaptive Retirement 2030 Fund,2274337.68,10617.29
1579,Columbia Adaptive Retirement 2035 Fund,1981031.42,29368.46
1580,Columbia Adaptive Retirement 2040 Fund,1446838.5,10276.55
1581,Columbia Adaptive Retirement 2045 Fund,1280557.89,29334.18
1582,Columbia Adaptive Retirement 2050 Fund,1473868.38,10028.33
1583,Columbia Adaptive Retirement 2055 Fund,1516105.01,29319.64
1584,Columbia Adaptive Retirement 2060 Fund,1847095.74,10318.35
1585,Columbia Adaptive Risk Allocation Fund,4172412608.86,309455837.12
1586,Columbia Bond Fund,1112934386.55,193193679.9
1587,Columbia California Intermediate Municipal Bond Fund,323043684.84,836316.58
1588,Columbia Capital Allocation Aggressive Portfolio,1233490573.64,735225.84
1589,Columbia Capital Allocation Conservative Portfolio,188956005.05,246179.58
1590,Columbia Capital Allocation Moderate Aggressive Portfolio,1732271559.69,1558256.42
1591,Columbia Capital Allocation Moderate Conservative Portfolio,390312172.97,380802.12
1592,Columbia Capital Allocation Moderate Portfolio,1170332164.32,973322.49
1593,Columbia Commodity Strategy Fund,187354457.31,1486537.23
1594,Columbia Connecticut Intermediate Municipal Bond Fund,67366652.02,159518.35
1595,Columbia Contrarian Core Fund,10845835265.99,7547139.94
1596,Columbia Convertible Securities Fund,1447224783.9,1698651.85
1597,Columbia Disciplined Core Fund,4019511358.95,2279892.02
1598,Columbia Disciplined Growth Fund,181748357.71,144594.46
1599,Columbia Disciplined Value Fund,181124607.24,121081.46
1600,Columbia Diversified Fixed Income Allocation ETF,565778355.84,74578365.79
1601,Columbia Dividend Income Fund,38723213088.32,16963444.25
1602,Columbia Dividend Opportunity Fund,2630440337.87,39589299.43
1603,Columbia Emerging Markets Bond Fund,294500509.5,384474.29
1604,Columbia Emerging Markets Fund,1444239581.43,19492641.05
1605,Columbia Flexible Capital Income Fund,1454462140.89,13407564.04
1606,Columbia Floating Rate Fund,788557377.6,15719157.4
1607,Columbia Global Opportunities Fund,412829890.08,32199797.21
1608,Columbia Global Technology Growth Fund,2038380999.2,364872.06
1609,Columbia Global Value Fund,841939430.98,3684852.47
1610,Columbia Greater China Fund,91296194.43,303404.54
1611,Columbia High Yield Municipal Fund,550431025.24,3949417.92
1612,Columbia Income Builder Fund,1309758380.8,577278.32
1613,Columbia India Consumer ETF,73283311.61,2883015.68
1614,Columbia Integrated Large Cap Growth Fund,263878553.51,109931.65
1615,Columbia Integrated Small Cap Growth Fund,57996470.01,9295.97
1616,Columbia Intermediate Duration Municipal Bond Fund,1740164603,24923334.94
1617,Columbia International ESG Equity Income ETF,6517053.08,2436.67
1618,Columbia Large Cap Enhanced Core Fund,386773109.14,10977109.53
1619,Columbia Large Cap Growth Fund,4070955576.72,125656986.25
1620,Columbia Large Cap Growth Opportunity Fund,1205202659.82,1122696.72
1621,Columbia Large Cap Index Fund,2968256174,305710.57
1622,Columbia Large Cap Value Fund,2482117241.72,1370074.91
1623,Columbia Limited Duration Credit Fund,632480591.5,1921614.01
1624,Columbia Massachusetts Intermediate Municipal Bond Fund,129315372.93,329067.25
1625,Columbia Mid Cap Index Fund,2683436745.98,637650.55
1626,Columbia Minnesota Tax-Exempt Fund,589506705.78,7237883.27
1627,Columbia Mortgage Opportunities Fund,4922062742.56,2348593581.37
1628,Columbia Multi Strategy Alternatives Fund,1103013900.22,337238321.57
1629,Columbia Multi-Sector Municipal Income ETF,288813540.26,55752.57
1630,Columbia New York Intermediate Municipal Bond Fund,140799730.9,913097.18
1631,Columbia North Carolina Intermediate Municipal Bond Fund,83309383.47,290375.47
1632,Columbia Oregon Intermediate Municipal Bond Fund,304635597.99,604919.6
1633,Columbia Overseas Core Fund,950944934.82,36859788.36
1634,Columbia Overseas Value Fund,2600003278.22,16631955.58
1635,Columbia Pyrford International Stock Fund,491922574.84,2153346.58
1636,Columbia Real Estate Equity Fund,232005766.1,74124.25
1637,Columbia Research Enhanced Core ETF,78589732.74,10257.04
1638,Columbia Research Enhanced Value ETF,23282117.04,3650.74
1639,Columbia Select Global Equity Fund,617692397.46,325103.94
1640,Columbia Select Large Cap Equity Fund,1285852207.05,37849200.17
1641,Columbia Select Large Cap Growth Fund,1019026701.41,632868.07
1642,Columbia Select Large Cap Value Fund,2446342417.76,470096.35
1643,Columbia Select Mid Cap Value Fund,2698404087.01,1022858.01
1644,Columbia Select Small Cap Value Fund,506083556.2,295620.78
1645,Columbia Seligman Global Technology Fund,1600634662.94,1029384.27
1646,Columbia Seligman Semiconductor and Technology ETF,16506858.41,9732.34
1647,Columbia Seligman Technology and Information Fund,8702842919.82,7701563.71
1648,Columbia Short Duration Municipal Bond Fund,615799422.6,24139919.82
1649,Columbia Short Term Bond Fund,975651345.55,3802841.3
1650,Columbia Small Cap Growth Fund,1538651645.08,2694088.81
1651,Columbia Small Cap Index Fund,3590412176.5,358710.01
1652,Columbia Small Cap Value Fund I,1424988090.19,354018.11
1653,Columbia Small Cap Value Fund II,1380781753.94,547466.11
1654,Columbia Solutions Aggressive Portfolio,7843401.54,86291.32
1655,Columbia Solutions Conservative Portfolio,10548260.41,62647.85
1656,Columbia South Carolina Intermediate Municipal Bond Fund,70335270.17,261419.66
1657,Columbia Strategic California Municipal Income Fund,410698075.02,1438397.36
1658,Columbia Strategic New York Municipal Income Fund,128220680.19,444535.76
1659,Columbia Tax-Exempt Fund,2422632565.31,71283817.55
1660,Columbia Thermostat Fund,1357888146.99,1229258.7
1661,Columbia Total Return Bond Fund,3207009845.75,650933146.67
1662,Columbia U.S. Social Bond Fund,65026083.86,190652.26
1663,Columbia U.S. Treasury Index Fund,1133622059.55,2202720.82
1664,Columbia Ultra Short Term Bond Fund,2056441080.22,15128963.67
1665,Columbia Variable Portfolio - Commodity Strategy Fund,138499564.15,610446.66
1666,Columbia Variable Portfolio - Contrarian Core Fund,1290210553.8,6050912
1667,Columbia Variable Portfolio - Disciplined Core Fund,3569542058.3,581364.61
1668,Columbia Variable Portfolio - Dividend Opportunity Fund,920680665.12,7501319.61
1669,Columbia Variable Portfolio - Emerging Markets Fund,239689986.33,1023731.19
1670,Columbia Variable Portfolio - Global Strategic Income Fund,81338983.99,747869.16
1671,Columbia Variable Portfolio - High Yield Bond Fund,266036258.17,290366.08
1672,Columbia Variable Portfolio - Income Opportunities Fund,145797558.23,234372.6
1673,Columbia Variable Portfolio - Intermediate Bond Fund,3944719800.08,571909754.59
1674,Columbia Variable Portfolio - Large Cap Growth Fund,1963427287.09,389994.68
1675,Columbia Variable Portfolio - Large Cap Index Fund,1526055709.73,232626.04
1676,Columbia Variable Portfolio - Limited Duration Credit Fund,923211641,360166.19
1677,Columbia Variable Portfolio - Long Government/Credit Bond Fund,1470827471.66,538454.84
1678,Columbia Variable Portfolio - Overseas Core Fund,3524264253.92,6813880.23
1679,Columbia Variable Portfolio - Select Large Cap Equity Fund,2959980161.83,135622.11
1680,Columbia Variable Portfolio - Select Mid Cap Growth Fund,411272725.81,153099.94
1681,Columbia Variable Portfolio - Select Mid Cap Value Fund,280736274.33,104489.67
1682,Columbia Variable Portfolio - Select Small Cap Value Fund,97320391.9,76811.82
1683,Columbia Variable Portfolio - Seligman Global Technology Fund,107015559.2,138846.15
1684,Columbia Variable Portfolio - Small Cap Value Fund,513572278.57,760433.68
1685,Columbia Variable Portfolio - Small Company Growth Fund,254674389.72,156259.87
1686,Columbia Variable Portfolio - Strategic Income Fund,166643847.04,29331954.87
1687,Columbia Variable Portfolio - U.S. Government Mortgage Fund,1195149892.64,309534430.91
1688,Columbia Virginia Intermediate Municipal Bond Fund,73299049.49,278521.35
1689,Commodities Strategy Fund,12402374.04,43481.85
1690,Commodity Return Strategy Portfolio,610306671.03,6651406.39
1691,Concorde Wealth Management Fund,37785185.25,109863
1692,Conductor Global Equity Value ETF,113140084.3,1697668.8
1693,Congress Large Cap Growth Fund,398316428.46,503518.74
1694,Congress Mid Cap Growth Fund,1308193560.45,1242912.93
1695,Congress Small Cap Growth Fund,490255593.89,522201.39
1696,Conquer Risk Defensive Bull Fund,306563975.59,428074
1697,Conquer Risk Managed Volatility Fund,77271245.51,7047978.73
1698,Conquer Risk Tactical Opportunities Fund,44643078.51,61091.84
1699,Conquer Risk Tactical Rotation Fund,61194621.69,82929.75
1700,Conservative Allocation Fund,549522475.24,1149822.15
1701,Conservative Balanced Allocation Portfolio,2678053.68,21705.39
1702,Conservative Strategy Fund,99006740.47,68665.21
1703,"Constitution Capital Access Fund, LLC",632152321,54580029.61597
1704,Constrained Capital ESG Orphans ETF,2065989.05,1317.59
1705,Consumer Products Fund,119374847.06,261407.97
1706,Copeland Risk Managed Dividend Growth Fund,51703787.63,204494.46
1707,Copeland SMID Cap Dividend Growth Fund,49373988.86,145190.1
1708,Corbett Road Tactical Opportunity ETF,17672115.79,27426.13
1709,"Corbin Multi-Strategy Fund, LLC",31920906.23006,127006.4376217
1710,Core Bond Fund,5070882809.04,215428077.60999998
1711,Core Bond Portfolio,625653618.8,54133041.59
1712,Core Bond Series,304327283.08,283744.17
1713,Core Bond Trust,814671798.77,29128116.41
1714,Core Fixed Income Fund,11749862911.64,314133937.86
1715,Core Fixed Income Portfolio,351602503.11,20059071.79
1716,Core Income Portfolio,458744618.45,13044982.13
1717,Core Plus Bond Account,204220524.57,17267141.02
1718,Core Plus Bond Fund,685614698.44,63040514.61
1719,Core Plus Fixed Income Portfolio,811602310.3499999,129119028.25
1720,Core Plus Income Fund,451505861.3,3955876.19
1721,CornerCap Fundametrics Large-Cap ETF,151678886.01,9204210.91
1722,Cornerstone Aggressive Fund,367555924.77,16897368.83
1723,Cornerstone Equity Fund,201984890.18,809823.87
1724,Cornerstone Moderate Fund,1191046246.93,100336283.14
1725,Cornerstone Moderately Aggressive Fund,2760976164.09,159809487.74
1726,Cornerstone Moderately Conservative Fund,194296253.31,6716366.39
1727,"Cornerstone Strategic Value Fund, Inc.",1402573382.72,2233409.03
1728,Corporate Bond Portfolio,128011719.4,1941883.1
1729,Counterpoint Global Portfolio,7398913.08,158428.08
1730,Counterpoint Tactical Income Fund,1065863778.29,1195290.35
1731,Counterpoint Tactical Municipal Fund,193659467.62,154857.5
1732,Cove Street Capital Small Cap Value Fund,32045385.27,202860.65
1733,Credit Series,266936790.71,58660.22
1734,Credit Suisse Floating Rate High Income Fund,2589707215.56,126159927.33
1735,Credit Suisse Managed Futures Strategy Fund,418430017.4,14078805.1
1736,Credit Suisse Multialternative Strategy Fund,444721726.59,95105615.7
1737,Credit Suisse Strategic Income Fund,366696694.13,27457005.7
1738,Cromwell CenterSquare Real Estate Fund,144357319.43,378338.37
1739,Cromwell Marketfield L/S Fund,205821328.11,45959471.78
1740,Cromwell Tran Sustainable Focus Fund,38358010.62,113996.84
1741,Cross Shore Discovery Fund,35411830.62,106617.25
1742,CrossingBridge Low Duration High Yield Fund,451823166.57,4230376.81
1743,CrossingBridge Ultra-Short Duration Fund,83825016.2,2546520.49
1744,"CrowdStreet REIT I, Inc.",40873745.94,908604.46
1745,Cullen Emerging Markets High Dividend Fund,313023794.17,366248.77
1746,Cullen Enhanced Equity Income Fund,174684582.2,438594.77
1747,Cullen High Dividend Equity Fund,1001036755.71,750336.9
1748,Cullen International High Dividend Fund,209086461.62,234080.15
1749,Cullen Small Cap Value Fund,13022541.24,6254.49
1750,Cullen Value Fund,24383913.48,24457.16
1751,Curasset Capital Management Limited Term Income Fund,249891605.84,58260.67
1752,Cushing NextGen Infrastructure Fund,25758276.63,142962.31
1753,Cushing NextGen Infrastructure Income Fund,194278657.31,51832857.6
1754,"Cypress Creek Private Strategies Institutional Fund, L.P.",2239082.38,47852.56972937
1755,"Cypress Creek Private Strategies Master Fund, L.P.",213787041.6858,672568.565573
1756,"Cypress Creek Private Strategies Registered Fund, L.P.",77398250.60098,154396.6132514
1757,"Cypress Creek Private Strategies TEI Fund, L.P.",54974001.38217,75362.42059984
1758,DANA EPIPHANY ESG SMALL CAP EQUITY FUND,27145048.97,31164.69
1759,DANA LARGE CAP EQUITY FUND,102706529.7,84051.11
1760,DAVENPORT BALANCED INCOME FUND,217817864.3,683802.23
1761,DAVENPORT CORE FUND,699793619.44,671476.04
1762,DAVENPORT EQUITY OPPORTUNITIES FUND,620982774.83,1295244.88
1763,DAVENPORT SMALL CAP FOCUS FUND,541698227.65,2537056.33
1764,DAVENPORT VALUE & INCOME FUND,799355730.7,1017947.21
1765,DEAN EQUITY INCOME FUND,38466396.34,2738398.2
1766,DEAN MID CAP VALUE,74257544.6,93116.38
1767,DEAN SMALL CAP VALUE,203582029.28,3308565.06
1768,DF DENT SMALL CAP GROWTH FUND,79881028.75,198682.36
1769,DFA California Intermediate-Term Municipal Bond Portfolio,525726006.91,994586.27
1770,DFA California Municipal Real Return Portfolio,294933385.75,1491386.23
1771,DFA California Short-Term Municipal Bond Portfolio,887750815.73,1926645.62
1772,DFA Commodity Strategy Portfolio,2736019558.25,1049011736.82
1773,DFA Diversified Fixed Income Portfolio,1930764399.31,287242.45
1774,DFA FIVE-YEAR GLOBAL FIXED INCOME PORTFOLIO,9989863127.85,86865569.43
1775,DFA Global Core Plus Fixed Income Portfolio,2780162544.2,344791690.08
1776,DFA Global Core Plus Real Return Portfolio,274205912.86,29179742.96
1777,DFA Global Real Estate Securities Portfolio,8704626955.93,242548242.67
1778,DFA INTERMEDIATE GOVERNMENT FIXED INCOME PORTFOLIO,4856042660.95,689381.23
1779,DFA INTERNATIONAL VALUE PORTFOLIO III,3017081808.73,168551.26
1780,DFA Inflation-Protected Securities Portfolio,5821169356.46,783922.76
1781,DFA Intermediate-Term Extended Quality Portfolio,1382057334.97,96330702.4
1782,DFA International Real Estate Securities Portfolio,5420625734.25,507266263.73
1783,DFA Investment Grade Portfolio,11953436808.88,1421442080.18
1784,DFA LTIP PORTFOLIO,340723241.77,48522.56
1785,DFA Municipal Bond Portfolio,629193443.62,6251095.57
1786,DFA Municipal Real Return Portfolio,1751354507.11,8911261.61
1787,DFA NY MUNICIPAL BOND PORTFOLIO,151856536.99,139530
1788,DFA ONE-YEAR FIXED INCOME PORTFOLIO,5464183658.52,70648381.24
1789,DFA Oregon Municipal Bond Portfolio,70633997.97,28723.41
1790,DFA SHORT-TERM GOVERNMENT PORTFOLIO,1512263321.19,345164.73
1791,DFA SHORT-TERM MUNICIPAL BOND PORTFOLIO,1881557448.38,400199.37
1792,DFA Selective State Municipal Bond Portfolio,361114423.73,5320331.31
1793,DFA Selectively Hedged Global Fixed Income Portfolio,1049945652.26,17125893.7
1794,DFA Short-Duration Real Return Portfolio,2122228974.72,24914419.03
1795,DFA Short-Term Extended Quality Portfolio,6296586093.53,80182823.82
1796,DFA Short-Term Selective State Municipal Bond Portfolio,159782742.06,1263959.77
1797,DFA TARGETED CREDIT PORTFOLIO,1009663765.65,28382048.54
1798,DFA TWO-YEAR GOVERNMENT PORTFOLIO,154290351.85,32614.65
1799,DFA World ex U.S. Government Fixed Income Portfolio,1135102999.18,6655547.82
1800,DGI BALANCED FUND,301369874.74,1567198.62
1801,DIAMOND HILL INTERNATIONAL FUND,54846709.08,3247674.09
1802,DIAMOND HILL LARGE CAP CONCENTRATED FUND,23386808.85,239575.35
1803,DIAMOND HILL LONG SHORT FUND,2607192132.68,854735146.04
1804,DIAMOND HILL MID CAP FUND,189250277.01,2017324.84
1805,DIAMOND HILL SELECT FUND,346714077.06,22763709.69
1806,DIAMOND HILL SHORT DURATION SECURITIZED BOND,1167235659.64,18998651.97
1807,DIAMOND HILL SMALL CAP FUND,296506320.63,10624846.3
1808,DIAMOND HILL SMALL-MID CAP FUND,1991749868.63,89432431.45
1809,DIMENSIONAL 2010 TARGET DATE RETIREMENT INCOME FUND,20031669.9,65784.7
1810,DIMENSIONAL 2015 TARGET DATE RETIREMENT INCOME FUND,35677741.39,9203.55
1811,DIMENSIONAL 2025 TARGET DATE RETIREMENT INCOME FUND,181319746.89,7444.32
1812,DIMENSIONAL 2030 TARGET DATE RETIREMENT INCOME FUND,187711934.62,7741.41
1813,DIMENSIONAL 2035 TARGET DATE RETIREMENT INCOME FUND,168525689.9,42458.65
1814,DIMENSIONAL 2040 TARGET DATE RETIREMENT INCOME FUND,145308379.7,98771.73
1815,DIMENSIONAL 2050 TARGET DATE RETIREMENT INCOME FUND,96040224.38,4544.89
1816,DIMENSIONAL 2055 TARGET DATE RETIREMENT INCOME FUND,57237455.13,176048.98
1817,DIMENSIONAL 2060 TARGET DATE RETIREMENT INCOME FUND,47673654.71,74186.9
1818,DIMENSIONAL EMERGING MARKETS VALUE FUND,11305728710.76,338999963.98
1819,DIMENSIONAL RETIREMENT INCOME FUND,81956130.52,8238.8
1820,DIVERSIFIED VALUE PORTFOLIO,1069913142.92,986280.49
1821,DIVIDEND AND INCOME FUND,248599319,37586880
1822,DNP Select Income Fund Inc,4393363188.06,1134708161.28
1823,DTF Tax-Free Income 2028 Term Fund INC,129998969.64,100434.16
1824,DWS Alternative Asset Allocation VIP,422845739.8,331592.24
1825,DWS CROCI (R) International Fund,424245403.98,521004.27
1826,DWS CROCI(R) Equity Dividend Fund,971303965.86,1240507.81
1827,DWS CROCI(R) International VIP,69451453.03,617596.7
1828,DWS CROCI(R) U.S. VIP,119248517.97,152925.93
1829,DWS California Tax-Free Income Fund,408748480.18,5046365.34
1830,DWS Communications Fund,72293514.68,1093181.98
1831,DWS Core Equity Fund,3592992039.23,2738918.03
1832,DWS Core Equity VIP,97057200.3,126177.68
1833,DWS ESG Core Equity Fund,190869302.09,206509.17
