SERIES_NAME,TotalLiabilities,TotalAssets
DIMENSIONAL 2055 TARGET DATE RETIREMENT INCOME FUND,176048.98,57237455.13
DIMENSIONAL 2060 TARGET DATE RETIREMENT INCOME FUND,74186.9,47673654.71
DIMENSIONAL EMERGING MARKETS VALUE FUND,338999963.98,11305728710.76
DIMENSIONAL RETIREMENT INCOME FUND,8238.8,81956130.52
DIVERSIFIED VALUE PORTFOLIO,986280.49,1069913142.92
DIVIDEND AND INCOME FUND,37586880.0,248599319.0
DNP Select Income Fund Inc,1134708161.28,4393363188.06
DTF Tax-Free Income 2028 Term Fund INC,100434.16,129998969.64
DWS Alternative Asset Allocation VIP,331592.24,422845739.8
DWS CROCI (R) International Fund,521004.27,424245403.98
DWS CROCI(R) Equity Dividend Fund,1240507.81,971303965.86
DWS CROCI(R) International VIP,617596.7,69451453.03
DWS CROCI(R) U.S. VIP,152925.93,119248517.97
DWS California Tax-Free Income Fund,5046365.34,408748480.18
DWS Communications Fund,1093181.98,72293514.68
DWS Core Equity Fund,2738918.03,3592992039.23
DWS Core Equity VIP,126177.68,97057200.3
DWS ESG Core Equity Fund,206509.17,190869302.09
DWS ESG International Core Equity Fund,71116.32,7325609.79
DWS Emerging Markets Equity Fund,1314411.01,185947075.49
DWS Enhanced Commodity Strategy Fund,79744034.41,1825671443.72
DWS Equity 500 Index Fund,195511.44,456981625.5
DWS Equity Sector Strategy Fund,106786.61,74271075.88
DWS Floating Rate Fund,3467567.73,135294707.05
DWS GNMA Fund,454276879.83,1354261487.98
DWS Global High Income Fund,9950668.47,357345140.82
DWS Global Income Builder Fund,2570410.56,602878855.24
DWS Global Income Builder VIP,401394.4,103151475.2
DWS Global Macro Fund,3079305.11,206740397.76
DWS Global Small Cap Fund,5224349.97,167692057.39
DWS Global Small Cap VIP,393720.08,58692688.25
DWS Health and Wellness Fund,772364.67,305917323.01
DWS High Income VIP,1370201.15,43315724.01
DWS Intermediate Tax-Free Fund,12791718.9,820690947.56
DWS International Growth Fund,5391389.05,443116136.03
DWS International Growth VIP,153036.5,19315563.85
DWS Large Cap Focus Growth Fund,430348.17,263538659.07
DWS Latin America Equity Fund,1293618.72,366807763.41
DWS MUNICIPAL INCOME TRUST,253396898.48,646926114.18
DWS Managed Municipal Bond Fund,20685177.58,2372832983.38
DWS Massachusetts Tax-Free Fund,396543.55,230330548.33
DWS Multi-Asset Conservative Allocation Fund,89427.52,67518466.76
DWS Multi-Asset Moderate Allocation Fund,62854.71,22027249.93
DWS New York Tax-Free Income Fund,320518.02,189507767.87
DWS RREEF Global Infrastructure Fund,14036935.44,1234129175.87
DWS RREEF Global Real Estate Securities Fund,3299042.15,176722930.49
DWS RREEF Real Assets Fund,16310434.45,5652037145.38
DWS RREEF Real Estate Securities Fund,1269318.87,1172757373.88
DWS S&P 500 Index Fund,516050.54,1025622103.23
DWS STRATEGIC MUNICIPAL INCOME TRUST,77454160.96,185426249.03
DWS Science and Technology Fund,1059893.29,967051866.47
DWS Small Cap Core Fund,10240985.39,504317297.29
DWS Small Cap Growth Fund,5045367.79,276143713.65
DWS Small Cap Index VIP,6399683.34,369540244.5
DWS Small Mid Cap Growth VIP,831063.77,50834397.38
DWS Small Mid Cap Value VIP,2708348.25,81987877.61
DWS Total Return Bond Fund,54687661.88,359095225.26
Davidson Multi-Cap Equity Fund,199562.73,102273294.29
Davis Appreciation & Income Fund,213610.57,184790560.78
Davis Financial Fund,1138289.77,844816023.09
Davis Government Bond Fund,80403.17,21532867.11
Davis New York Venture Fund,6987484.07,6183531374.02
Davis Opportunity Fund,784491.56,474084473.01
Davis Research Fund,69494.3,52545814.55
Davis Select Financial ETF,167682.3,189019333.07
Davis Select International ETF,194587.22,165930482.87
Davis Select U.S. Equity ETF,273593.0,348249442.2
Davis Select Worldwide ETF,254426.36,258846244.94
Davis Value Portfolio,268501.05,85759632.96
Day Hagan/Ned Davis Research Smart Sector ETF,257616.72,458173146.87
Day Hagan/Ned Davis Research Smart Sector International ETF,6283.55,12365539.39
Day Hagen/Ned Davis Research Smart Sector Fixed Income ETF,17656.92,30899455.15
Decathlon Market Neutral Fund,943896.24,2603747.01
Deer Park Total Return Credit Fund,32007573.8,515131644.68
Defensive Market Strategies Fund,5510006.36,1267016758.25
Defiance Daily Short Digitizing the Economy ETF,1001775.7,1945406.82
Defiance Digital Revolution ETF,3138.64,3949552.42
"Defiance Hotel, Airline, and Cruise ETF",82143.04,49605460.22
Defiance Next Gen H2 ETF,244642.83,38154427.64
Defiance Quantum ETF,12231681.49,114339240.14
Delaware Climate Solutions Fund,9115435.49,275448768.23
Delaware Corporate Bond Fund,12787906.8,1219619585.13
Delaware Covered Call Strategy Fund,304587.09,97875413.03
Delaware Emerging Markets Debt Corporate Fund,677267.55,84065622.78
Delaware Emerging Markets Fund,53438781.12,4809235377.15
Delaware Enhanced Global Dividend & Income Fund,512126.85,94015028.99
Delaware Equity Income Fund,665521.63,275081082.4
Delaware Extended Duration Bond Fund,2559987.91,421227255.9
Delaware Floating Rate Fund,57262021.33,722943596.27
Delaware Global Real Estate Fund,165104.2,40358303.07
Delaware Growth and Income Fund,1657968.02,986304004.5
Delaware Healthcare Fund,7569647.19,897039576.56
Delaware Hedged U.S. Equity Opportunities Fund,298512.82,57768564.63
Delaware High-Yield Opportunities Fund,10084755.82,503819711.71
Delaware International Small Cap Fund,561885.62,71898422.12
Delaware International Value Equity Fund,2149638.52,342609666.86
"Delaware Investments Dividend & Income Fund, Inc",200748.56,72133723.7
Delaware Investments National Municipal Income Fund,564209.67,144122533.59
Delaware Investments Ultrashort Fund,1512943.68,161831574.31
Delaware Ivy Accumulative Fund,26972025.76,638207913.97
Delaware Ivy Asset Strategy Fund,42178506.9,1866704178.12
Delaware Ivy Balanced Fund,47273133.14,1677171640.96
Delaware Ivy California Municipal High Income Fund,133723.51,14584759.14
Delaware Ivy Core Bond Fund,2468731.41,484837216.86
Delaware Ivy Core Equity Fund,7362460.48,3373365969.28
Delaware Ivy Corporate Bond Fund,1392320.62,378594907.17
Delaware Ivy Crossover Credit Fund,53391.66,15910469.84
Delaware Ivy Emerging Markets Local Currency Debt Fund,337353.13,22187640.86
Delaware Ivy Global Bond Fund,7712649.82,411756585.39
Delaware Ivy Global Growth Fund,8611869.24,562242769.14
Delaware Ivy Government Securities Fund,2943677.84,164247686.52
Delaware Ivy High Income Fund,69742712.36,2622611623.75
Delaware Ivy High Income Opportunities Fund,10577866.82,203675814.86
Delaware Ivy High Yield Fund,291488.56,40018906.17
Delaware Ivy International Core Equity Fund,22107935.26,1354264913.23
Delaware Ivy International Small Cap Fund,1020061.47,38095252.33
Delaware Ivy International Value Fund,1056649.5,111991119.77
Delaware Ivy Large Cap Growth Fund,11635261.47,4643078123.13
Delaware Ivy Managed International Opportunities Fund,152623.35,80187387.72
Delaware Ivy Mid Cap Income Opportunities Fund,7105832.93,1331363634.59
Delaware Ivy Multi-Asset Income Fund,5108249.91,151336023.76
Delaware Ivy Natural Resources Fund,8964194.9,279523020.35
Delaware Ivy Smid Cap Core Fund,1577427.24,378279314.63
Delaware Ivy Strategic Income Fund,10908765.16,163775967.49
Delaware Ivy Systematic Emerging Markets Equity Fund,11435435.64,913803986.24
Delaware Ivy Total Return Bond Fund,2797977.84,72936984.67
Delaware Ivy VIP Asset Strategy,16312871.05,582899775.58
Delaware Ivy VIP Balanced,3366521.73,212160854.26
Delaware Ivy VIP Corporate Bond,1199994.12,492673298.62
Delaware Ivy VIP Energy,2509133.05,126558158.79
Delaware Ivy VIP Growth,819503.71,629284478.57
Delaware Ivy VIP High Income,37498132.17,788898120.37
Delaware Ivy VIP International Core Equity,8278481.72,494657113.59
Delaware Ivy VIP Limited-Term Bond,2812953.63,315726524.32
Delaware Ivy VIP Mid Cap Growth,1186582.16,461402047.13
Delaware Ivy VIP Natural Resources,4213060.01,113815536.86
Delaware Ivy VIP Pathfinder Aggressive,60680.02,53715620.8
Delaware Ivy VIP Pathfinder Conservative,67017.93,84386025.26
Delaware Ivy VIP Pathfinder Moderate,190010.49,466037358.15
Delaware Ivy VIP Pathfinder Moderate - Managed Volatility,215339.78,435859818.34
Delaware Ivy VIP Pathfinder Moderately Aggressive,236907.96,566316368.31
Delaware Ivy VIP Pathfinder Moderately Aggressive - Managed Volatility,69657.76,77434414.86
Delaware Ivy VIP Pathfinder Moderately Conservative,121804.13,138100111.64
Delaware Ivy VIP Pathfinder Moderately Conservative - Managed Volatility,55214.75,30279391.04
Delaware Ivy VIP Small Cap Growth,635769.54,199565760.88
Delaware Ivy VIP Smid Cap Core,314812.48,158464664.83
Delaware Ivy VIP Value,428153.91,354838395.24
Delaware Ivy Value Fund,2482924.26,1122073182.67
Delaware Limited-Term Diversified Income Fund,2188341.78,429560613.99
Delaware Mid Cap Value Fund,166217.89,60121131.74
Delaware National High-Yield Municipal Bond Fund,96157026.67,1914279217.85
Delaware Opportunity Fund,1151903.66,553714006.44
Delaware Premium Income Fund,178702.14,42339100.83
Delaware Real Estate Securities Fund,624430.43,167714478.69
Delaware Select Growth Fund,420057.24,181939480.29
Delaware Small Cap Core Fund,15074104.84,7287699422.71
Delaware Small Cap Growth Fund,14019292.91,166921409.15
Delaware Small Cap Value Fund,17035757.2,6382385382.08
Delaware Smid Cap Growth Fund,21282932.13,1452046293.63
Delaware Strategic Allocation Fund,856221.41,178556697.22
Delaware Strategic Income Fund,765803.73,106218837.24
Delaware Sustainable Equity Income Fund,1273323.81,101146300.73
Delaware Tax-Free Arizona Fund,314025.56,71018319.68
Delaware Tax-Free California Fund,4784165.1,158798052.95
Delaware Tax-Free Colorado Fund,3179789.38,217588072.21
Delaware Tax-Free Idaho Fund,1604030.6,115113932.53
Delaware Tax-Free Minnesota Fund,4512863.83,514408162.8
Delaware Tax-Free New Jersey Fund,183599.81,22886541.2
Delaware Tax-Free Oregon Fund,226488.07,43735706.15
Delaware Total Return Fund,1055627.0,392382223.6
Delaware VIP Equity Income Series,123777.19,108979802.06
Delaware VIP Fund for Income Series,135283.57,73980318.19
Delaware VIP Global Value Equity,10189058.24,238923339.35
Delaware VIP Growth Equity Series,125880.99,89861196.37
Delaware VIP Growth and Income Series,328255.28,484383036.73
Delaware VIP Investment Grade Series,117735.01,39370672.19
Delaware VIP Limited Duration Bond Series,99383.89,19697935.56
Delaware VIP Real Estate Securities,17491.56,55708113.12
Delaware VIP Small Cap Value Series,2765345.38,1410181189.61
Delaware VIP Total Return Series,140533.73,41672129.67
Delaware Value Fund,29894024.7,7314698755.88
Delaware Wealth Builder Fund,3137938.02,370499281.08
Delaware Wilshire Private Markets Fund,2481402.39,29163264.98
Delaware Wilshire Private Markets Master Fund,2835556.32,29140856.49
Democratic Large Cap Core ETF,202963.41,20436054.19
Destinations Core Fixed Income Fund,191128374.92,2187503249.46
Destinations Equity Income Fund,4984119.29,758064450.04
Destinations Global Fixed Income Opportunities Fund,28499561.41,747581043.07
Destinations Low Duration Fixed Income Fund,37707618.67,524376552.38
Destinations Municipal Fixed Income Fund,17837443.23,897053518.75
Destinations Shelter Fund,1773270.69,108260691.77
Destiny Alternative Fund LLC,338184.25,29039321.8609
Destra Flaherty & Crumrine Preferred Dividend and Income Fund,495909.72,216869261.46
Destra Granahan Small Cap Advantage Fund,442716.49,16144131.15
Destra Multi-Alternative Fund,17036063.99,115044074.91
Deutsche DWS Equity 500 Index Portfolio,894584.34,1483371912.77
Developed International Equity Select ETF,276249.45,18493713.3
Developing Growth Portfolio,840324.29,69464243.9
Dimensional 2065 Target Date Retirement Income Fund,6411.75,6511153.77
Dimensional Core Fixed Income ETF,709235395.46,3112275312.33
Dimensional Emerging Core Equity Market ETF,23695216.08,2265278016.12
Dimensional Emerging Markets Core Equity 2 ETF,21519548.72,1461727450.26
Dimensional Emerging Markets Value ETF,1692186.62,339157373.3
Dimensional Global Sustainability Fixed Income ETF,9003071.12,107237794.23
Dimensional International Core Equity 2 ETF,107029109.16,2717177847.85
Dimensional International Core Equity Market ETF,13762742.82,3048031306.64
Dimensional International High Profitability ETF,30981240.85,875393831.67
Dimensional International Small Cap ETF,18962860.67,574927331.55
Dimensional International Small Cap Value ETF,16644551.03,871563283.35
Dimensional International Sustainability Core 1 ETF,3401919.95,141795468.74
Dimensional International Value ETF,173116964.82,5074802320.35
Dimensional National Municipal Bond ETF,27716394.69,798594292.89
Dimensional Short-Duration Fixed Income ETF,22845530.29,1051353283.31
Dimensional U.S. Core Equity 2 ETF,371362294.97,18102336721.41
Dimensional U.S. Equity ETF,95580076.9,6030531943.02
Dimensional U.S. Marketwide Value ETF,21264998.17,8634716893.6
Dimensional U.S. Small Cap ETF,261013429.64,5631707764.25
Dimensional US Core Equity Market ETF,41210346.17,3118974784.17
Dimensional US High Profitability ETF,24858732.96,1705946045.2
Dimensional US Large Cap Value ETF,228436.31,286167221.0
Dimensional US Real Estate ETF,7472365.79,573802690.46
Dimensional US Sustainability Core 1 ETF,1429620.12,171052841.36
Dimensional World ex. U.S. Core Equity 2 ETF,157067995.58,5625949007.32
Direxion Breakfast Commodities Strategy ETF,3357.26,5479809.06
Direxion Daily 20+ Year Treasury Bear 3X Shares,11924706.58,437632140.4
Direxion Daily 20+ Year Treasury Bull 3X Shares,9133968.52,988142726.3
Direxion Daily 7-10 Year Treasury Bear 3X Shares,52410.07,30552241.54
Direxion Daily 7-10 Year Treasury Bull 3X Shares,725553.83,23521200.1
Direxion Daily AAPL Bear 1X Shares,25341.49,24521403.68
Direxion Daily AAPL Bull 1.5X Shares,557407.72,10720142.06
Direxion Daily AMZN Bear 1X Shares,11742.98,6972741.67
Direxion Daily AMZN Bull 1.5X Shares,2815625.28,21504876.78
Direxion Daily Aerospace & Defense Bull 3X Shares,8425887.49,205306122.7
Direxion Daily CSI 300 China A Share Bear 1X Shares,39684.69,13800692.17
Direxion Daily CSI China Internet Index Bull 2X Shares,83079839.95,494490656.4
Direxion Daily Cloud Computing Bull 2X Shares,350471.27,7810348.41
Direxion Daily Consumer Discretionary Bull 3X Shares,4113616.91,32766020.13
Direxion Daily Dow Jones Internet Bear 3X Shares,845758.05,48881278.65
Direxion Daily Dow Jones Internet Bull 3X Shares,24826715.41,164761722.2
Direxion Daily Electric and Autonomous Vehicles Bull 2X Shares,459336.81,4953685.36
Direxion Daily Energy Bear 2X Shares,54130.36,37527724.32
Direxion Daily Energy Bull 2X Shares,35827840.65,519912214.0
Direxion Daily FTSE China Bear 3X Shares,2170786.47,189515253.7
Direxion Daily FTSE China Bull 3X Shares,169521092.1,874641549.4
Direxion Daily FTSE Europe Bull 3X Shares,4379096.13,36242899.48
Direxion Daily FinTech Bull 2X Shares,280487.73,3004412.43
Direxion Daily Financial Bear 3X Shares,206229.42,168551863.1
Direxion Daily Financial Bull 3X Shares,201463999.5,2276175731.0
Direxion Daily GOOGL Bear 1X Shares,129915.46,5299647.09
Direxion Daily GOOGL Bull 1.5X Shares,600949.84,9046281.87
Direxion Daily Global Clean Energy Bull 2X Shares,926.71,5183562.8
Direxion Daily Gold Miners Index Bear 2X Shares,1250328.93,126815127.0
Direxion Daily Gold Miners Index Bull 2X Shares,82598867.68,614803919.4
Direxion Daily Healthcare Bull 3X Shares,247900.92,193066109.6
Direxion Daily Homebuilders & Supplies Bull 3X Shares,33071837.2,216037822.1
Direxion Daily Junior Gold Miners Index Bear 2X Shares,363207.06,101772747.0
Direxion Daily Junior Gold Miners Index Bull 2X Shares,53676807.14,353188266.3
Direxion Daily MSCI Brazil Bull 2X Shares,16500399.01,156515959.1
Direxion Daily MSCI Emerging Markets Bear 3X Shares,47632.45,27239388.7
Direxion Daily MSCI Emerging Markets Bull 3X Shares,24746377.6,139153352.5
Direxion Daily MSCI India Bull 2X Shares,77964.13,52807269.5
Direxion Daily MSCI Mexico Bull 3X Shares,4526751.06,21727299.68
Direxion Daily MSCI South Korea Bull 3X Shares,9297660.25,43488581.72
Direxion Daily MSFT Bear 1X Shares,144523.21,3801228.7
Direxion Daily MSFT Bull 1.5X Shares,9460.48,5213253.5
Direxion Daily Metal Miners Bull 2X Shares,975145.13,10753559.68
Direxion Daily Mid Cap Bull 3X Shares,5366218.02,64214024.73
Direxion Daily Oil Services Bull 2X Shares,1877646.78,14892756.48
Direxion Daily Pharmaceutical & Medical Bull 3X Shares,499336.57,11647209.46
Direxion Daily Real Estate Bull 3X Shares,5424242.39,65353854.47
Direxion Daily Regional Banks Bull 3X Shares,7553170.13,190811803.8
"Direxion Daily Robotics, Artificial Intelligence & Automation Index Bull 2x Shares",1958366.86,19983780.54
Direxion Daily S&P 500 Bear 1X Shares,2766760.89,491760209.2
Direxion Daily S&P 500 Bull 2X Shares,1111268.59,47441176.04
Direxion Daily S&P 500 Bull 3X Shares,221851855.0,2958010309.0
Direxion Daily S&P 500 High Beta Bear 3X Shares,846525.41,60692138.72
Direxion Daily S&P 500 High Beta Bull 3X Shares,13468020.33,95197798.32
Direxion Daily S&P Biotech Bear 3X Shares,910804.4,156503287.9
Direxion Daily S&P Biotech Bull 3X Shares,196516254.5,1291430754.0
Direxion Daily S&P Oil & Gas Exp. & Prod. Bear 2X Shares,105738.95,90678372.19
Direxion Daily S&P Oil & Gas Exp. & Prod. Bull 2X Shares,52046486.11,737030880.7
Direxion Daily Select Large Caps & FANGs Bull 2X Shares,837974.64,11261470.78
Direxion Daily Semiconductor Bear 3X Shares,93047639.84,1759165980.0
Direxion Daily Semiconductor Bull 3X Shares,869214613.8,5608384852.0
Direxion Daily Small Cap Bear 3X Shares,427773.16,520156975.7
Direxion Daily Software Bull 2X Shares,108945.15,4203594.68
Direxion Daily TIPS Bear 2X Shares,22044.44,6637016.34
Direxion Daily TIPS Bull 2X Shares,21259.96,6098171.04
Direxion Daily TSLA Bull 1.5X Shares,92920779.82,391775049.1
Direxion Daily Technology Bull 3X Shares,122634976.8,1601350717.0
Direxion Daily Transportation Bull 3X Shares,797056.78,28044311.02
Direxion Daily Travel & Vacation Bull 2X Shares,3117302.16,27403573.13
Direxion Daily US Infrastructure Bull 2X Shares,11070.03,3025493.93
Direxion Monthly 7-10 Year Treasury Bull 1.75X Fund,157212.89,5317225.46
Direxion Monthly High Yield Bull 1.2X Fund,112731.71,48505643.87
Direxion Monthly NASDAQ-100 Bull 1.25X Fund,20390.6,1284001.03
Direxion Monthly NASDAQ-100 Bull 1.75X Fund,3313048.92,259578392.26
Direxion Monthly S&P 500 Bear 1.75X Fund,1516742.02,10315117.41
Direxion Monthly S&P 500 Bull 1.75X Fund,205371.02,80989421.25
Direxion Monthly Small Cap Bear 1.75X Fund,594856.31,4703124.14
Direxion Monthly Small Cap Bull 1.75X Fund,105757.54,8465510.97
Direxion NASDAQ-100 Equal Weighted Index Shares,134958.46,499891929.2
Direxion Nanotechnology ETF,712.08,1319011.08
Direxion S&P 500(R) Equal Weight Bull 2X Shares,132060.71,3396585.94
Direxion Work From Home ETF,12403.52,33375678.98
Direxion mRNA ETF,2399.42,4388083.88
Disciplined Core Value Fund,1389706.03,2354347155.85
Disciplined Growth Fund,321847.86,793249390.18
Disciplined Growth Investors Fund,232152.39,358565428.38
Disciplined Value Fund,5332362.61,12258881872.26
Disciplined Value International Fund,601063.55,2356009769.63
Disciplined Value Series,188254.52,386732913.62
Discovery Portfolio,29479794.54,957310620.03
Distillate International Fundamental Stability & Value ETF,183643.68,14290567.96
Distillate Small/Mid Cash Flow ETF,711662.44,14830292.17
Diversified Balanced Account,197343.37,749293993.91
Diversified Balanced Managed Volatility Account,42027.6,141439166.74
Diversified Balanced Volatility Control Account,71498.62,207229953.09
Diversified Bond Fund,60802347.5,5821272614.72
Diversified Equity Master Portfolio,105484487.27,901218963.96
Diversified Growth Account,817472.51,3046805590.64
Diversified Growth Volatility Control Account,391741.05,1197474473.02
Diversified Income Fund,358631996.45,8042969924.43
Diversified International Account,4804840.55,241510185.73
Diversified International Fund,34405281.25,4747466506.66
Diversified Municipal Portfolio,30581691.38,5312655776.36
Diversified Real Assets Fund,551832.05,1038005092.28
Diversified Tax Exempt Series,54790.49,218098823.64
Dividend Growth Portfolio,1994237.0699999998,1477778691.15
Dividend Performers ETF,2764322.38,17444355.82
Dividend Value Fund,1894520.0,1268556328.9
Dodge & Cox Balanced Fund,227046587.91,13736145864.83
Dodge & Cox Emerging Markets Stock Fund,504531.31,173699553.01
Dodge & Cox Global Bond Fund,27183538.54,1587928335.48
Dodge & Cox Global Stock Fund,54467331.28,10103406075.91
Dodge & Cox Income Fund,4164588662.28,62252155486.78
Dodge & Cox International Stock Fund,338041392.35,41621086984.71
Domestic Equity Portfolio,467066.02,1060402967.22
Domini Impact Bond Fund,72724855.36,299353933.4
Donoghue Forlines Dividend Fund,70930.66,38308561.31
Donoghue Forlines Dividend VIT Fund,178246.84,9455740.98
Donoghue Forlines Momentum Fund,162050.96,10006443.01
Donoghue Forlines Momentum VIT Fund,140268.47,53345997.62
Donoghue Forlines Risk Managed Innovation ETF,4900531.69,51415773.06
Donoghue Forlines Tactical High Yield ETF,11836661.12,47069372.31
Donoghue Forlines Tactical Income Fund,81577.35,44761442.32
Donoghue Forlines Yield Enhanced Real Asset ETF,9126145.06,64503313.08
DoubleLine Emerging Markets Fixed Income Fund,3147670.02,573001071.17
DoubleLine Emerging Markets Local Currency Bond Fund,55902.59,9399444.14
DoubleLine Flexible Income Fund,6502044.21,988219373.92
DoubleLine Global Bond Fund,409801.12,121024462.53
DoubleLine Income Fund,546013.26,52794470.48
DoubleLine Income Solutions Fund,427823787.31,1639105568.18
DoubleLine Infrastructure Income Fund,1381809.58,374093283.46
DoubleLine Long Duration Total Return Bond Fund,227072.73,44732181.77
DoubleLine Low Duration Bond Fund,37115580.17,5905625745.86
DoubleLine Low Duration Emerging Markets Fixed Income Fund,830244.12,247247390.68
DoubleLine Multi-Asset Growth Fund,540582.64,21664444.81
DoubleLine Multi-Asset Trend Fund,575479.53,14192594.18
DoubleLine Opportunistic Credit Fund,52403277.69,285247890.61
DoubleLine Real Estate and Income Fund,1964799.17,11591749.69
DoubleLine Selective Credit Fund,4012434.14,580466994.06
DoubleLine Shiller Cape U.S. Equities ETF,115865.84,206496119.36
DoubleLine Strategic Commodity Fund,65785110.56,205561194.95
DoubleLine Total Return Bond Fund,154186761.87,32527017352.39
Doubleline Shiller Enhanced CAPE,456862782.19,4628554594.5
Doubleline Shiller Enhanced International CAPE,4216107.94,53397225.47
Dow 2x Strategy Fund,629849.35,50537072.43
Dow Jones Industrial Average Fund,122772.8,36656593.7
Driehaus Emerging Markets Opportunities Fund,182362.94,46821455.35
Driehaus Emerging Markets Small Cap Growth Fund,2790837.47,105421978.19
Driehaus Event Driven Fund,21158023.77,225664502.54
Driehaus International Small Cap Growth Fund,249204.2,216905959.09
Driehaus Micro Cap Growth Fund,243619.4,176573480.37
Driehaus Small Cap Growth Fund,357850.28,454003514.24
Driehaus Small/Mid Cap Growth Fund,80977.99,13013430.41
Dunham Dynamic Macro Fund,49295.84,40674523.04
Dunham Emerging Markets Stock Fund,1733758.03,122157986.93
Dunham Focused Large Cap Growth Fund,194391.15,184077337.57
Dunham High Yield Bond Fund,718247.93,93977473.02
Dunham International Opportunity Bond Fund,21808966.87,64368033.25
Dunham International Stock Fund,583805.17,134624684.21
Dunham Large Cap Value Fund,761639.26,162621344.26
Dunham Long/Short Credit Fund,12628430.38,253776770.84
Dunham Monthly Distribution Fund,85440192.66,297956009.02
Dunham Real Estate Stock Fund,81149.06,82110476.7
Dunham Small Cap Growth Fund,278286.35,80281817.34
Dunham Small Cap Value Fund,74674.78,60662617.11
Dynamic Allocation Fund,1626478.52,158691751.99
Dynamic Alternatives Fund,11531467.41,56056834.16
Dynamic International Opportunity Fund,2399520.42,98386235.14
Dynamic US Opportunity Fund,16119513.63,142817772.93
EA Bridgeway Blue Chip ETF,52369233.97,190862170.83
EATON VANCE CALIFORNIA MUNICIPAL BOND FUND,156627281.88,407661759.45
EATON VANCE CALIFORNIA MUNICIPAL INCOME TRUST,43982292.79,125935252.79
EATON VANCE MUNICIPAL BOND FUND,522445086.85,1332084979.12
EATON VANCE MUNICIPAL INCOME TRUST,229521815.26,675835738.58
EATON VANCE NEW YORK MUNICIPAL BOND FUND,136743291.9,323756816.73
EATON VANCE SENIOR FLOATING RATE TRUST,192419443.17,566598600.52
EATON VANCE SENIOR INCOME TRUST,61565357.17,164941833.49
EATON VANCE TAX ADVANTAGED DIVIDEND INCOME FUND,1182429081.93,3070500822.34
EATON VANCE TAX ADVANTAGED GLOBAL DIVIDEND INCOME FUND,1028004772.61,2406523600.91
EIC Value Fund,507916.41,275633642.93
EIP Growth and Income Fund,290646.96,116283427.32
ELFUN DIVERSIFIED FUND,16762268.22,182870441.88
ELFUN INCOME FUND,31809300.86,191902017.87
ELFUN TAX EXEMPT INCOME FUND,14283413.52,1059216841.75
EMERGING MARKETS CORE EQUITY PORTFOLIO,869108696.04,25775025045.77
EMERGING MARKETS PORTFOLIO,8375536.57,5111624412.02
EMERGING MARKETS PORTFOLIO II,23412.68,59701853.64
EMERGING MARKETS SMALL CAP PORTFOLIO,1267323.91,4063370549.54
EMERGING MARKETS VALUE PORTFOLIO,3292133.25,10832440694.14
EP Emerging Markets Fund,350542.7,81808401.24
EQ/400 Managed Volatility Portfolio,12745388.28,853849575.96
EQ/500 Managed Volatility Portfolio,10596196.16,7479309842.18
EQ/AB Dynamic Aggressive Growth,9763222.05,393764024.53
EQ/AB Dynamic Moderate Growth Portfolio,8937899.33,1595851481.89
EQ/AB Small Cap Growth Portfolio,67910037.59,1829490886.98
EQ/AB Sustainable U.S. Thematic Portfolio,96364.31,9106485.05
EQ/Aggressive Allocation Portfolio,1302450.09,2909133561.98
EQ/Aggressive Growth Strategy Portfolio,2008731.52,4607935563.89
EQ/All Asset Growth Allocation Portfolio,4846084.37,437870025.44
EQ/American Century Mid Cap Value Portfolio,7185102.08,599070505.61
EQ/Capital Group Research Portfolio,7720013.77,511635643.54
EQ/ClearBridge Large Cap Growth ESG Portfolio,7007701.45,312289509.59
EQ/ClearBridge Select Equity Managed Volatility Portfolio,4300056.59,594099555.36
EQ/Common Stock Index Portfolio,35023922.79,5836815170.69
EQ/Conservative Allocation Portfolio,357471.85,805489465.69
EQ/Conservative-Plus Allocation Portfolio,437681.53,897555852.14
EQ/Core Bond Index Portfolio,181482786.56,5267732435.67
EQ/Core Plus Bond Portfolio,6563068.39,755740687.56
EQ/Emerging Markets Equity PLUS Portfolio,732795.09,77371940.81
EQ/Equity 500 Index Portfolio,7152654.74,7243536139.36
EQ/Fidelity Institutional AM Large Cap Portfolio,2482641.05,896837209.46
EQ/Franklin Moderate Allocation,6825368.78,218918518.93
EQ/Franklin Rising Dividends Portfolio,297118.21,303834736.83
EQ/Franklin Small Cap Value Managed Volatility Portfolio,6249899.25,274303568.17
EQ/Global Equity Managed Volatility Portfolio,10097408.29,1611420953.66
EQ/Goldman Sachs Growth Allocation Portfolio,16376466.3,264985914.93
EQ/Goldman Sachs Mid Cap Value Portfolio,178235.47,133428102.19
EQ/Goldman Sachs Moderate Growth Allocation Portfolio,926148.19,651990674.1
EQ/Growth Strategy Portfolio,1752192.33,4366807554.03
EQ/Intermediate Government Bond Portfolio,37751827.03,6586718454.08
EQ/International Core Managed Volatility Portfolio,73793833.74,1271623108.87
EQ/International Equity Index Portfolio,28982272.22,1486817765.8
EQ/International Managed Volatility Portfolio,23987135.66,2007762091.82
EQ/International Value Managed Volatility Portfolio,17215192.03,1000701547.62
EQ/Invesco Comstock Portfolio,388224.6,281914037.34
EQ/Invesco Global Portfolio,2153497.04,330893915.4
EQ/Invesco Moderate Allocation Portfolio,381666.89,317495740.84
EQ/Invesco Moderate Growth Allocation Portfolio,1292304.36,228735487.0
