SERIES_NAME,INTRST_RATE_CHANGE_30YR_DV01
Advantage CoreAlpha Bond Master Portfolio,380594.42
Carillon Reams Core Plus Bond Fund,299263.43
First Trust TCW Securitized Plus ETF,20941.16698
Western Asset Inflation-Linked Opportunities & Income Fund,144518.43
Great-West Multi-Sector Bond Fund,39593.402209110856
BlackRock Multi-Asset Income Portfolio,386199.82
Nuveen Taxable Municipal Income Fund,617633.27
Fidelity Investment Grade Bond Fund,2185196.92539921
1290 Diversified Bond Fund,24630.73
BlackRock MuniYield Pennsylvania Quality Fund,86518.77
iShares National Muni Bond ETF,2082975.24
PIMCO International Bond Fund (U.S. Dollar-Hedged),26648.501764
Nuveen Nebraska Municipal Bond Fund,17053.42
Colorado BondShares A Tax Exempt Fund,396329.38250894967
Goldman Sachs Managed Futures Strategy Fund,65348.88
Nuveen Georgia Municipal Bond Fund,28725.49
Strategic Advisers Municipal Bond Fund,395943.79284371
VOYA U.S. BOND INDEX PORTFOLIO,617974.0
First Trust/Aberdeen Global Opportunity Income Fund,11543.79362
Clearwater Tax-Exempt Bond Fund,245319.58772445784
Osterweis Total Return Fund,46116.18
PSF PGIM Flexible Managed Portfolio,221721.85233
Pacific Funds Core Income,149662.60458
JPMorgan Global Allocation Fund,45225.07088
Bridge Builder Core Plus Bond Fund,24279.036547
Fidelity Flex U.S. Bond Index Fund,275041.45149092
VOYA GLOBAL BOND FUND,23605.0
PSF PGIM 50/50 Balanced Portfolio,155351.35064
NVIT DoubleLine Total Return Tactical Fund,24048.046177
AlphaSimplex Managed Futures Strategy Fund,98204.85
BlackRock Managed Income Fund,50123.75
PF Inflation Managed Fund,10527.85905
Guggenheim Taxable Municipal Bond & Investment Grade Debt Trust,161310.82947037
AST J.P. Morgan Tactical Preservation Portfolio,475863.82068
Schwab U.S. Aggregate Bond Index Fund,961971.9
PIMCO StocksPLUS Long Duration Fund,620518.43562
Inflation Protection Fund,528439.4972
Western Asset Investment Grade Income Fund Inc.,18359.67
Carillon Reams Unconstrained Bond Fund,40476.69
Nuveen High Yield Municipal Bond Fund,9872146.06
iShares 10-20 Year Treasury Bond ETF,2123253.52
Master Total Return Portfolio,4755528.98
iShares J.P. Morgan USD Emerging Markets Bond ETF,3421039.3
Timothy Plan Fixed Income Fund,13596.654547
Ginnie Mae Fund,47007.0
"BlackRock MuniHoldings California Quality Fund, Inc.",836963.09
PMC Core Fixed Income Fund,128688.45
BlackRock Credit Allocation Income Trust,385530.67
VIP Investment Grade Central Fund,559942.53552022
EQ/Core Plus Bond Portfolio,190054.47
Global Atlantic Wellington Research Managed Risk Portfolio,26897.50026
DoubleLine Yield Opportunities Fund,47507.0
PGIM High Yield Fund,380464.45454
Delaware Tax-Free Idaho Fund,23699.59251
iShares International Treasury Bond ETF,13777.41
KKR Credit Opportunities Portfolio,467911.59
Western Asset Core Bond Fund,1961006.44
Fidelity Series International Developed Markets Bond Index Fund,130335.6048805
Strategic Allocation: Moderate Fund,24348.0
PIMCO U.S. Government and Short-Term Investments Portfolio,934440.406137
PIMCO StocksPLUS International Fund (U.S. Dollar-Hedged),31596.706779
PIMCO EM Bond and Short-Term Investments Portfolio,23650.158902
High Yield Municipal Bond Fund,25307.932675967117
Six Circles Global Bond Fund,12055.679161
Strategic Advisers Income Opportunities Fund,30680.8366289
EQ/PIMCO Global Real Return Portfolio,74626.54
Nationwide Bond Index Fund,47996.217815
Fidelity Series Emerging Markets Debt Local Currency Fund,29055.23958
Global Bond Fund,92140.43213275688
Stone Harbor Local Markets Fund,29519.489916
Muzinich Credit Opportunities Fund,56246.97
Fidelity Total Bond Fund,7390360.7285532
Federated Hermes Ultrashort Bond Fund,10305.818285
Pro-Blend Conservative Term Series,17260.06881
Western Asset Corporate Bond Fund,196406.82
BlackRock Sustainable Total Return Fund,10243.79
PIMCO International Bond Fund (U.S. Dollar-Hedged),93141.661775
Nuveen Massachusetts Municipal Bond Fund,64906.78
,124387.310383
MML Total Return Bond Fund,104348.57
Northern High Yield Fixed Income Fund,13954.993795550747
JPMorgan Global Allocation Fund,15813.65846
BlackRock Pennsylvania Municipal Bond Fund,123361.33
Brown Advisory Tax-Exempt Bond Fund,34515.66
"BlackRock Investment Quality Municipal Trust, Inc.",138405.86
PIMCO REALPATH Blend 2025 Fund,28624.511803
Western Asset Mortgage Opportunity Fund Inc.,34581.15
Guggenheim Total Return Bond Fund,5686003.37956161
JPMorgan SmartRetirement Blend 2025 Fund,52966.22208
Fidelity Series Emerging Markets Debt Local Currency Fund,80081.073025
PGIM Government Income Fund,89386.83574
Fidelity Series Investment Grade Bond Fund,9084413.36933712
PIMCO International Bond Portfolio (U.S. Dollar-Hedged),14162.698553
PIMCO Real Return Portfolio,413423.925774
PIMCO International Bond Fund (Unhedged),10623.231625
Northern California Tax-Exempt Fund,24186.82330321715
Fidelity Municipal Bond Index Fund,15315.55746947
PIMCO Emerging Markets Local Currency and Bond Fund,20749.725218
PIMCO Investment Grade Credit Bond Fund,1786289.155506
Fidelity Government Income Fund,764416.13750151
Mairs and Power Balanced Fund,23687.41
Delaware Tax-Free USA Fund,277571.29206
JPMorgan Core Plus Bond Fund,3312909.11999
PIMCO New York Municipal Bond Fund,18633.22507
California Intermediate-Term Tax-Free Bond Fund,47775.0
Fidelity Intermediate Municipal Income Fund,312237.03314718
PIMCO Real Return Fund,16899.839821
Emerging Markets Debt Fund,26409.0
WESTWOOD INCOME OPPORTUNITY FUND,91129.075808
PIMCO Total Return Portfolio,522947.501005
SBH PLUS BOND FUND,141040.446938
Steward Select Bond Fund,13205.737525544017
Transamerica PIMCO Total Return VP,42720.69
INV CORP BOND,177640.392514
Brown Advisory Mortgage Securities Fund,88666.28
Index Asset Allocation Fund,147843.89641668266
Nationwide Loomis Core Bond Fund,144924.970239
Domini Impact Bond Fund,61226.19315337817
VOYA INTERMEDIATE BOND FUND,1798664.0
First Trust Intermediate Duration Preferred & Income Fund,54535.90967510637
JNL/PIMCO Income Fund,72903.50484753484
YORKTOWN MULTI-SECTOR BOND FUND,27775.937166
Morningstar Alternatives Fund,15037.218414916604
BlackRock Core Bond Portfolio,943449.75
Finisterre Emerging Markets Total Return Bond Fund,21803.0967
Finisterre Emerging Markets Total Return Bond Fund,20572.0374
MEDIUM-DURATION BOND FUND,638650.6812582221
EQ/Core Plus Bond Portfolio,11408.43
iShares iBoxx $ Investment Grade Corporate Bond ETF,14198440.47
BlackRock Systematic Multi-Strategy Fund,494717.56
VANGUARD SHORT-TERM INVESTMENT-GRADE FUND,37417.34973963
AST Capital Growth Asset Allocation Portfolio,427182.6984
EQ/Core Plus Bond Portfolio,141946.99
Eaton Vance Emerging Markets Debt Opportunities Fund,19942.08
Fidelity New Markets Income Fund,845328.06396366
Schwab Long-Term U.S. Treasury ETF,80774.85
Managed Bond Portfolio,15305.62
PSF PGIM Total Return Bond Portfolio,257660.34109
Multi-Manager Emerging Markets Debt Opportunity Fund,19353.45389400632
PGIM TIPS Fund,18640.2101
iShares ESG Aware USD Corporate Bond ETF,304074.12
PIMCO Total Return Fund,5867219.721086
iShares 20+ Year Treasury Bond ETF,26001112.31
Fixed Income SHares: Series M,55118.258796
DIAMOND HILL SHORT DURATION SECURITIZED BOND,12816.47
